ID,Titolo,Sottotitolo
070,Indice di diffusione dei siti web delle imprese,Percentuale di imprese (con più di dieci addetti) dei settori industria e servizi  che dispongono di sito web
064,Grado di utilizzo di Internet nelle famiglie,Grado di utilizzo di Internet: percentuale di persone di 6 anni e più che dichiarano di aver utilizzato Internet negli ultimi tre mesi
065,Grado di diffusione del personal computer nelle imprese con più di dieci addetti,Percentuale di imprese (con più di dieci addetti) dei settori industria e servizi che dispongono di personal computer
066,Grado di diffusione del personal computer nelle imprese con meno di dieci addetti,Percentuale di imprese (con meno di dieci addetti) dei settori industria e servizi che dispongono di personal computer
256,Indice di diffusione dell'informatizzazione nei comuni,Popolazione residente dei comuni con anagrafe collegata al sistema INA-SAIA (a) sul totale della popolazione regionale (%)
062,Grado di diffusione di Internet nelle famiglie,Percentuale di famiglie che dichiarano di possedere l'accesso a Internet sul totale delle famiglie
073,Grado di diffusione della larga banda nelle amministrazioni locali,Percentuale delle amministrazioni comunali che dispongono di accesso a banda larga sul totale delle amministrazioni comunali
072,Grado di utilizzo di Internet nelle imprese,Percentuale di addetti delle imprese (con più di dieci addetti) dei settori industria e servizi che utilizzano computer connessi a Internet
071,Indice di diffusione della banda larga nelle imprese,Percentuale di imprese (con più di dieci addetti) dei settori industria e servizi che dispongono di collegamento a banda larga
