Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,23.1559290383,,20.8548614373,22.9831144465,24.588622473,25.8751182592,24.8571428571,25.8110687023,27.0079849695,,27.4080967892,26.359832636,29.0858725762,30.551755586,27.0615034169,32.0036264733,
Valle d'Aosta/Vallée d'Aoste,31.0344827586,,32.2033898305,31.0344827586,32.2033898305,32.2033898305,32.2033898305,35.593220339,26.6666666667,,26.6666666667,37.7049180328,35.4838709677,34.4262295082,40.3225806452,39.6825396825,
Lombardia,25.4447196577,,25.3530598521,27.1186440678,26.5876565295,25.9613247388,28.1856728409,28.6759813706,31.2486284837,,30.3088803089,30.9889173061,28.1630040538,30.6031746032,29.7083333333,31.4776490066,
Trentino-Alto Adige,39.5973154362,,37.2505543237,37.0860927152,39.2070484581,40.8296943231,42.3580786026,41.341991342,41.5053763441,,47.0464135021,46.2343096234,46.7775467775,46.9387755102,42.5403225806,48.2,
Veneto,25.5357957136,,28.1702898551,26.9632319564,27.8202247191,28.3348254252,31.3901345291,32.3830734967,31.8281455502,,36.3360762235,32.4892703863,32.7179046801,32.347972973,35.2348993289,36.1099541858,
Friuli-Venezia Giulia,25.2491694352,,23.2830820771,22.6130653266,24.4966442953,25.2931323283,24.2424242424,28.3082077052,30.7046979866,,31.1986863711,30.0664451827,27.4086378738,29.8679867987,33.4967320261,32.1370309951,
Liguria,18.2783018868,,20.3349282297,19.5180722892,20.9386281588,20.8282582217,19.803198032,23.4491315136,21.3135068154,,18.5503685504,22.964763062,25.0,23.5722964763,21.6545012165,24.5145631068,
Emilia-Romagna,21.1324570273,,24.9748237664,23.7613751264,24.0201005025,25.9610584124,28.4992420414,27.0175438596,28.6278381046,,24.9394673123,28.6473429952,27.3205741627,29.7310051911,32.3845076995,29.4712643678,
Toscana,18.6583990981,,21.5132693394,20.9197980931,22.4225352113,23.07259426,25.1133786848,24.9575551783,25.3655793026,,23.7016574586,27.3076923077,25.8347016968,24.3665768194,27.5268817204,28.7991498406,
Umbria,20.2409638554,,14.4230769231,17.8743961353,21.0653753027,20.3836930456,22.0623501199,20.9134615385,24.1134751773,,25.4079254079,21.9907407407,23.3944954128,24.6606334842,22.6966292135,25.8351893096,
Marche,19.1933240612,,17.3130193906,17.4931129477,22.9598893499,21.7510259918,22.1614227086,23.5772357724,24.5660881175,,25.9210526316,23.2984293194,23.3289646134,24.8366013072,25.1282051282,25.572519084,
Lazio,19.3124758594,,19.3029490617,21.6082317073,21.3419257013,23.097412481,25.7839721254,23.1664726426,23.3204633205,,27.4562071592,26.9865067466,24.4291409931,26.7429388631,24.9646393211,30.122591944,
Abruzzo,17.4603174603,,16.062992126,17.9245283019,20.4402515723,15.3364632238,22.028526149,20.7547169811,22.0125786164,,21.6049382716,22.4615384615,23.5114503817,19.6078431373,24.514200299,24.1791044776,
Molise,12.1951219512,,14.0243902439,11.7283950617,15.3374233129,14.7239263804,15.625,15.5279503106,15.5279503106,,18.6335403727,16.3522012579,20.7547169811,18.75,15.5279503106,17.3913043478,
Campania,9.19337794998,,9.98944776644,10.5281566981,10.4855735398,13.2817990162,15.4009184034,13.3333333333,16.2561576355,,16.3820146392,16.2425932381,13.7751561416,15.2994115611,14.996544575,13.9655172414,
Puglia,11.5956392468,,12.7407407407,13.4720158494,15.2550767707,16.8489065606,17.4776564052,18.3,17.3353145121,,19.2250372578,17.3484475111,17.3999011369,19.3405511811,17.3209028459,18.6092066601,
Basilicata,9.66666666667,,11.9601328904,12.4161073826,12.7516778523,13.8047138047,14.9659863946,17.6870748299,17.0068027211,,20.3389830508,18.3673469388,20.7482993197,17.0068027211,19.1126279863,20.9621993127,
Calabria,12.3772102161,,11.8577075099,12.8458498024,13.5188866799,13.2019704433,14.9598393574,14.4578313253,15.7,,17.1026156942,15.7,16.0282258065,17.0682730924,17.5879396985,20.1402805611,
Sicilia,9.05138339921,,11.3573407202,10.2493074792,14.8910891089,13.3491311216,15.4622527251,15.0867285196,15.8863545418,,14.3714971978,16.8467386955,15.5048076923,15.1863600317,16.0714285714,16.5407554672,
Sardegna,15.6862745098,,16.6462668299,18.9189189189,19.4341943419,19.2307692308,22.1534653465,22.7441285538,21.2792127921,,25.8852258852,21.2454212454,24.3605359318,23.4866828087,23.8554216867,24.3047158404,
Italia,18.5687738859,0.0,19.2677890168,19.8538921318,21.00681699,21.5163362189,23.3532723434,23.2661091982,24.2436901654,0.0,24.841728599,24.8921602191,24.0899795501,25.0759468035,25.1382975157,26.5855285095,
