Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,,,,,,,,,,52.0479933802,49.4050061551,47.6911047836,46.826387789,46.0428815161,45.1838387391,43.3596123773,
Valle d'Aosta/Vallée d'Aoste,,,,,,,,,,54.9295774648,53.5211267606,53.9960166068,52.2895249849,51.9798868636,50.7203206993,49.6941045606,
Lombardia,,,,,,,,,,49.3112434847,47.3945866323,46.2979255239,45.0726515012,44.0181887304,43.4277635376,42.4419679807,
Trentino-Alto Adige,,,,,,,,,,50.4770303558,49.1042791351,47.7797110359,45.2722000488,44.0369634727,42.5839628912,41.3795550509,
Veneto,,,,,,,,,,53.6367027229,51.0166358595,50.2146721236,47.7592147028,46.1330493528,44.8308680065,42.7620434378,
Friuli-Venezia Giulia,,,,,,,,,,48.9855072464,47.1014492754,44.585507019,44.0606526986,42.8757134768,42.6679016852,41.2906893686,
Liguria,,,,,,,,,,44.2263279446,42.2988505747,42.247134919,41.5288146332,37.8000349935,35.965482505,37.093829443,
Emilia-Romagna,,,,,,,,,,48.0155306299,46.8057921635,45.0454532378,43.9398967575,42.4488259909,41.053079939,40.2800736305,
Toscana,,,,,,,,,,51.6775162744,50.223769269,48.2872104386,49.6007574095,47.7065283632,45.9511045049,45.3592031903,
Umbria,,,,,,,,,,43.29004329,41.7910447761,40.483973553,39.9856096696,39.1449842627,37.6397385814,35.8802502234,
Marche,,,,,,,,,,48.4811664642,46.9879518072,46.1973920044,45.2335136848,44.4540499286,42.993301761,42.6733281556,
Lazio,,,,,,,,,,41.5734147169,39.6169354839,39.3203215171,37.3864180473,36.3939610392,35.2057628621,35.1364594359,
Abruzzo,,,,,,,,,,46.9827586207,44.4759206799,43.4850920886,45.7018551527,43.5426747488,43.3293348601,41.5179537097,
Molise,,,,,,,,,,51.1764705882,49.7076023392,49.1831051968,47.6968865805,47.4209506176,46.6445614196,46.9655330356,
Campania,,,,,,,,,,57.6685118854,57.3966408269,56.7932743846,56.8039402414,56.5505987053,54.9355832463,54.0751249192,
Puglia,,,,,,,,,,60.3937728938,60.0090785293,57.9437697329,56.3795834939,56.3567258474,57.1701428852,55.9161634928,
Basilicata,,,,,,,,,,53.0158730159,50.9554140127,49.890770071,49.1696988281,47.4718438541,46.4589279406,46.9470996668,
Calabria,,,,,,,,,,53.4905660377,52.5328330206,51.9110704469,51.7171601991,51.0481885072,49.1627771725,49.4745122431,
Sicilia,,,,,,,,,,59.5454545455,58.5687382298,57.4305315687,56.8923097564,56.16740999,54.440407001,53.8646077078,
Sardegna,,,,,,,,,,61.4164904863,60.6505771249,58.639664822,57.4054898409,56.8359140808,56.4823475602,54.9421028254,
Italia,,,,,,,,,,51.8737169729,50.3322974187,49.1583967659,48.2099742342,47.1562416496,46.0855031993,45.175469124,
