Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,75.1044518081,76.4193631008,77.6354416867,78.0796915694,77.3733243403,81.3460587692,86.6187602852,86.0380494598,87.2755080238,88.1142997906,88.3384649219,88.7570105648,87.2522064723,,,,
Valle d'Aosta/Vallée d'Aoste,70.8196721311,75.9652173913,76.16468039,78.6717267552,72.7722772277,75.3435414213,76.1199844176,80.6907378336,84.2186297152,87.0930677901,84.0165475743,85.296324081,85.8611825193,,,,
Lombardia,73.9944903581,75.799905096,76.4333121514,76.808358432,75.4021993569,79.1563862987,82.9857087679,83.4744201357,84.59230107,85.1439790576,83.7726465026,84.3274359155,84.4839125077,,,,
Trentino-Alto Adige,58.6013252967,59.7638580081,61.2749873359,60.721220527,59.7185785834,62.069377514,61.6817178407,63.6323033822,65.0521971352,65.7817583035,66.6548197291,67.4679301976,68.2998089673,,,,
Veneto,76.4445353493,78.0421656769,79.2000138736,79.3111803082,79.8649432965,80.3020826527,83.021202086,84.2671581873,86.1931779869,86.1986582825,85.2017979124,86.4121702886,87.129888708,,,,
Friuli-Venezia Giulia,85.1064546557,87.1540936718,86.9988438444,87.4119856048,87.4295831321,88.9476729768,93.0187486834,95.0456267218,96.8128692802,95.8036523766,95.3862523941,95.9946427824,93.9333926118,,,,
Liguria,89.9694429649,92.7108289411,93.5598264889,93.3390292794,92.6566963536,93.0776807853,95.6806282723,95.9639713971,97.4599612364,96.8734207068,94.627207325,94.037680325,94.1254083941,,,,
Emilia-Romagna,82.7598944591,84.9897943162,86.1736711773,86.6891158206,86.6637489058,89.2314510003,91.5108894089,93.3401946352,94.6851411436,95.2087401565,93.6211743619,94.8794351702,95.9199321538,,,,
Toscana,84.9222678212,87.3626054085,88.3187905598,89.2257509861,88.3928571429,90.4252502251,91.4039495367,93.0571769973,95.5315320265,94.4608677883,94.5166041778,95.4732348112,97.0184614588,,,,
Umbria,91.7100057785,93.4200777922,93.3679052286,95.9677029444,95.2643062581,95.5489614243,97.9425984981,97.0954356846,99.1636228892,98.3985765125,100.031408679,96.9263028691,97.1602332127,,,,
Marche,88.0431626827,88.6470883534,90.6646267147,91.6693557061,91.1162611047,92.8451461203,97.4758491742,96.5044196992,98.3607028846,97.7900552486,99.1625601732,98.7376769905,100.438173451,,,,
Lazio,86.2231376852,89.1097411266,90.6667688748,92.6467843143,91.5910910066,94.8770292602,97.7506049018,99.48721551,101.740032537,100.703667386,99.1797091626,99.3814717447,95.4874161996,,,,
Abruzzo,87.3909892801,89.7425957513,91.334465736,92.4720659,93.0028993511,94.9852013179,95.8237710724,96.7667906112,97.8892743652,98.7316127896,98.1511610708,97.5278193723,97.704305158,,,,
Molise,83.3853132974,87.6564774381,89.7512437811,91.921132457,88.7100103199,94.1139571354,97.5394864081,95.5106014712,96.1407366685,96.6030195382,98.7562189055,98.7266170836,100.420597931,,,,
Campania,72.0031906217,75.3496310472,77.13733563,78.7595915798,78.4325862375,82.9300931378,86.4950401044,87.1795650589,90.5300067982,91.7605207232,93.377765464,93.0419981954,94.0532097354,,,,
Puglia,70.0915583339,73.9461444465,76.072227273,77.1948895417,77.4447275885,80.242584629,84.5421865088,86.5726320671,89.22174932,90.4849046589,91.2036117094,91.3656978349,93.1281759035,,,,
Basilicata,84.2826437399,88.5812826249,90.6548300878,92.5689290805,92.362566098,92.8124369069,94.9189300837,95.8760728491,99.1260790792,100.922559288,103.549408432,102.073312324,104.005843025,,,,
Calabria,74.6799501868,77.3973922538,79.4983040151,80.2635479264,84.8296320712,86.1532848764,88.5244729239,90.2843117202,92.5786796025,92.6763556899,95.3963447438,94.6411893497,94.5857042638,,,,
Sicilia,69.9542075207,72.6111752175,74.5913045446,76.8168730704,76.0450766586,80.6058096764,82.7958168119,87.0658615608,88.6512932378,89.9877960698,90.9213485939,91.0837152422,90.8679827267,,,,
Sardegna,79.919723492,84.0757238307,86.0829015544,86.7991854241,82.7415405165,85.8640248342,88.1125986134,92.9665767075,92.3150388387,93.4535433754,93.6449685605,95.5114381628,98.5110144139,,,,
Italia,76.8592289433,79.3789884303,80.8022265901,81.8496595069,81.4034409062,84.4343123533,87.4835279835,88.9723651236,90.8865177428,91.3609119283,91.4138418908,91.6698763027,91.841699781,,,,
