Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,61.9286335083,63.0436454679,62.7424634814,62.7003768776,63.8615692676,65.176095932,65.1277770229,65.7742391524,66.6924519667,66.9153804923,67.1588801479,67.5140118569,67.8390429791,68.7560395014,68.7979010445,68.8179660059,69.7144979854
Valle d'Aosta/Vallée d'Aoste,69.5720860139,69.5542895429,70.1355870729,69.9711568913,70.4278539462,72.2448394626,73.521350415,73.8413233444,70.1659937003,69.0624217795,68.5464315006,69.1230125319,70.3702180373,70.1841113867,70.1033173022,70.5452757482,70.7739315508
Lombardia,61.9529359231,62.3043133123,62.1756877565,63.1142678324,63.7720887114,64.2050545119,65.1504659767,66.1563206594,67.6449484032,68.2677560638,68.3022239197,69.1472633654,69.155350638,69.6454498618,69.5604087923,68.9809726176,68.7244789548
Trentino-Alto Adige,64.8629930557,66.2033800197,66.0099629849,66.4605556232,67.2614431979,68.2927377282,68.2967409897,68.7665984691,69.0729178579,69.4804777706,69.2979117891,69.4699823158,69.9678135005,70.5955595003,70.7990659484,71.0387778602,71.3007526165
Veneto,62.08918851,62.5339363503,63.2674960995,63.5797870631,64.1791290491,65.2922814832,65.8739835008,66.1762744775,67.3909862679,67.1823481114,67.4483123791,68.2583027815,68.090956872,68.8931801744,67.9093495184,68.4383790795,68.356634484
Friuli-Venezia Giulia,62.5698586846,63.3298955881,63.4558045287,63.5884294265,64.5236408779,64.9799760254,66.4284996843,66.6870503112,66.540259037,65.1356743173,65.7808208056,67.1637591088,67.8558299636,68.2390475374,67.0156577883,67.4574811978,67.7619585427
Liguria,60.6621770386,61.6706670473,61.8529019997,63.1582709797,63.9007268415,64.2624968785,65.1981970308,65.456634564,64.6013011141,63.8968453745,64.8030973564,65.5508628916,67.0258184866,67.5228512846,67.3540638348,67.4872920589,67.5701905438
Emilia-Romagna,65.7991405324,66.2352537875,67.144202914,67.6012742949,68.3428031749,69.2603843243,69.752511808,70.4129203037,71.7665816789,70.9184854994,71.1319864866,71.8628615905,72.3775616673,72.5699203021,72.0360197554,71.5850669541,71.7883377384
Toscana,62.613981421,62.5040609768,62.6358360994,63.3380535208,64.3572105044,65.2020694005,65.8697730385,66.0706491848,67.0373917447,66.7275061653,67.3499685121,68.1339391804,67.7348015226,68.8813772608,68.8538384913,68.0313763195,68.0615789143
Umbria,62.5042146131,63.1296087687,62.3836293101,63.3117101903,65.2706103606,66.1182582284,66.6583031371,66.3504225737,65.1752022309,65.1696789785,65.622612775,66.2860346192,67.731865917,68.7307769112,67.5902752699,67.2598830712,66.7693202142
Marche,62.1844835609,62.8023706841,62.4255857236,62.683916682,64.4328546606,64.6957724278,65.1631975948,66.3746021726,67.0920290816,67.3931500643,66.6569636076,67.5123993034,67.681353335,67.8933527644,68.3691095245,67.5619173032,67.371259877
Lazio,56.1936072053,56.8153199979,56.9978232624,57.3255278502,57.988277665,58.73143937,59.454896446,60.0769299086,62.8110415413,63.599999432,63.3223355838,64.2100492802,63.8285323393,65.1161977044,65.0392796472,65.3330849889,64.6425706945
Abruzzo,62.4009345229,63.3213012255,62.6219533893,62.5358460313,62.4279300595,62.5022158049,63.820854973,64.7386433888,63.5217006467,61.1924038681,62.1761629912,61.6546469227,61.672508245,63.1399333951,60.6588330008,60.9075978745,62.136776503
Molise,56.5186422505,55.7949587391,56.5342453991,57.1073840933,57.1315124689,57.1427089414,58.3972658984,58.1407555402,57.9002829661,58.6837751889,56.831769609,58.1757981487,58.3333564524,59.6231554316,57.5578489432,55.8512615517,56.2412745457
Campania,53.0172893441,52.5473043439,52.9912900015,53.9003991218,53.5707366475,53.8085634381,53.9453384314,54.7412017938,55.0293173973,53.4792110214,51.8538243436,50.7003701657,49.2875195452,48.6503942996,46.9079545047,46.4409813915,46.7183199909
Puglia,50.2366409308,50.8233372102,50.8647035029,52.5217378761,52.6237652502,53.0037413924,52.6197030462,53.2053316945,53.5291312005,53.356543346,52.1063702502,52.4750702891,52.5755978086,52.8976595658,51.5023040392,51.4128641856,51.6088758203
Basilicata,53.8285821377,53.3794655866,54.8982656585,55.0110869769,55.2935603468,57.0595367608,56.5257316067,56.6844669709,57.1848542876,56.4281533929,56.1802531975,56.246776556,54.8447017498,55.8383747314,54.621885929,54.2162947233,54.1564561855
Calabria,49.9154812562,49.6724608112,48.9679196914,51.633731796,52.3736687029,52.227362631,53.9257417203,54.4268411937,54.2358678519,53.744942675,52.1346662033,52.3811493689,50.6162537035,50.2285099697,48.7217279951,47.9400539252,48.7585859821
Sicilia,51.0283099081,51.494668185,52.2430804599,53.994878726,54.2497260563,54.8628081372,55.0954861612,54.770833259,54.4006450849,52.3071145082,52.6505001635,52.1162583989,51.2741618141,51.2064187427,50.6156513293,50.0622621823,49.5146554796
Sardegna,55.2301486311,54.6433414564,55.7464819331,56.8625770364,58.1844556955,58.3629035212,59.3400940331,59.9940179495,59.5210432071,59.551038066,59.1591712614,58.6924858424,58.6124574627,59.8842758289,58.7426496695,59.5216288015,60.2713775836
Italia,58.4287147229,58.7827802569,58.9856928985,59.8091674254,60.4039936123,61.021937959,61.5591679886,62.1119039584,62.875887271,62.5308436934,62.3576580222,62.7149721342,62.5223590622,63.029710024,62.4040416125,62.1921325636,62.2471946986
