Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,,,,,,47.0753822362,46.6959155664,46.4808213555,47.1026613751,46.9403616135,46.7721717593,46.8619451171,48.2906741911,,,,
Valle d'Aosta/Vallée d'Aoste,,,,,,40.224613675,39.8717117821,39.9393794166,41.2351944809,43.0275750041,46.4926033303,46.5608838491,46.6159002901,,,,
Lombardia,,,,,,51.8611097032,52.2671684009,51.3964462165,50.3457408727,51.7482480193,51.8513767588,52.9814750424,53.6687066114,,,,
Trentino-Alto Adige,,,,,,48.4371881018,47.0404490433,45.2035883184,44.1453744613,44.9864848987,45.1274829142,45.4866881894,46.0096291546,,,,
Veneto,,,,,,45.1722344718,44.8405104142,44.4350751757,42.9525402489,43.9366605469,44.1132546499,45.376315649,46.547212664,,,,
Friuli-Venezia Giulia,,,,,,41.9855935979,42.7273863855,42.1595641022,40.5655557269,40.8790318703,41.6023240316,44.1637492476,44.0472130153,,,,
Liguria,,,,,,45.4559969828,46.302008924,45.7613526788,43.0751046596,43.887201959,43.6638931553,43.507297789,46.1743869985,,,,
Emilia-Romagna,,,,,,48.525367362,47.9711776527,47.5209404004,46.4010770665,48.0782818895,47.628752234,49.4563280241,50.4810220852,,,,
Toscana,,,,,,42.5594577833,43.115170276,41.3587628473,39.4304300785,39.8195233086,40.8912505106,42.1500662423,42.9141204305,,,,
Umbria,,,,,,37.588017172,38.4249347531,38.5979848608,37.7256580455,36.8032349097,38.5525414594,41.0838593273,40.3809894176,,,,
Marche,,,,,,35.7563873584,36.3566804446,35.5890113855,34.6583046308,34.8306319005,35.190942079,37.2383165963,36.4063241164,,,,
Lazio,,,,,,51.4021606414,53.3818339683,51.7029097545,48.6349093933,49.1420705316,49.3391798703,50.135668721,48.1150149309,,,,
Abruzzo,,,,,,42.6557276497,42.1936145818,41.955084206,39.6616910098,39.049072632,38.9409014863,40.4642707241,40.881710267,,,,
Molise,,,,,,38.0346527229,36.4625432324,36.0742543262,33.0997320277,33.9132668539,34.1459157949,34.0257813733,34.3109579676,,,,
Campania,,,,,,35.7977275113,35.9857949495,34.9617170324,33.2790139856,33.5158000348,35.6533347522,36.2914686834,36.8857775339,,,,
Puglia,,,,,,32.7493234795,32.6243266964,31.8022828525,30.7942449541,31.1922247405,32.1798415223,32.8061852355,32.7886555508,,,,
Basilicata,,,,,,38.4772503437,38.6572037176,36.8200577201,34.0198670677,35.157104725,34.5599739453,36.7133285448,36.2932281991,,,,
Calabria,,,,,,31.1704106812,32.6041828963,31.7242235022,29.1806389173,29.5748837549,30.3942708207,31.4904547718,31.9943328968,,,,
Sicilia,,,,,,41.4889083821,42.0319986313,41.378522492,39.1827497865,36.1293897858,38.6189911315,37.2907266713,37.5678335696,,,,
Sardegna,,,,,,39.9505464448,38.8210788346,37.7852471749,35.8101736183,33.8331961596,35.4350348636,36.6716634341,37.6742824776,,,,
Italia,,,,,,45.493084856,45.5716801314,44.7857085102,43.5372801676,44.2580721322,44.6474547024,45.7143634565,46.2829238625,,,,
