Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,47.0723062928,47.3352652958,48.157223533,47.6308840624,48.0547948163,49.5090713926,48.8176663039,48.8250328397,49.7570977717,49.7509363981,49.8368610472,50.294749447,52.3546915598,51.6390860154,48.5191708847,,
Valle d'Aosta/Vallée d'Aoste,49.6094024863,51.1859425859,45.8572879443,46.9445106962,45.1532906973,47.0561548665,46.9459739996,49.2298643306,51.6558201993,54.2239019925,57.3867137234,58.3489181717,56.9489895011,53.5648438842,51.324253313,,
Lombardia,51.3990425506,52.0542050371,53.4027890685,53.4825200724,53.6620687914,55.7751760183,55.9861739029,55.4699810022,53.9778730473,55.0087994008,55.3092842559,56.2734103345,57.0507343992,55.7152846348,50.446805744,,
Trentino-Alto Adige,50.4802541715,49.6156693017,49.2930205163,50.2770478621,50.1732919301,51.7252349845,50.6815828052,49.365122743,49.1470520332,50.4472776705,51.010034627,50.92380116,50.9561106592,49.1105943945,45.0891766522,,
Veneto,44.2043566984,44.3360692933,45.2329534467,44.1170270704,44.9816389421,47.0548505733,46.8378409717,46.7919431694,45.618218009,46.9863337436,47.035315622,47.9897881465,48.615494162,47.160626691,43.2419640731,,
Friuli-Venezia Giulia,42.9676400052,42.0529310054,42.0221904351,41.2500195314,43.0642673161,43.8532521258,44.8375999859,44.7016662597,43.2529076358,44.0912482097,44.6340754211,46.7920022723,46.4161968337,45.2316329955,40.9082379346,,
Liguria,47.0404256426,49.3491462888,48.603339663,47.4417487636,49.4432106777,51.5983969654,52.8813890755,52.0116446678,48.8441600487,49.4139316807,48.7542377728,48.9038904597,51.0811651904,50.369978073,47.5515478186,,
Emilia-Romagna,47.0962653594,47.57728588,47.4629818306,47.1855950188,47.7097726628,49.9570053647,49.8059860382,49.3302879927,48.4290682625,50.527399819,50.194069766,51.8386454254,52.8673670068,51.5224549329,46.4538378037,,
Toscana,40.9352532737,41.792035261,41.8441734424,42.123082589,43.2298007831,45.5140364709,46.1516550319,45.1538455169,43.1511206414,44.2769551428,44.9015922379,46.5239895526,46.5676662489,44.9647992686,42.6417374442,,
Umbria,43.454677541,40.8260743058,42.8278406892,39.9778051125,40.4764565388,41.3885956583,42.1113878351,42.9550809312,42.0796508955,41.9739199469,43.3053108359,45.7309379014,44.1668222251,43.7664429934,41.1408990877,,
Marche,34.2111535105,35.0620411057,36.5199799401,34.5795828123,35.2272061945,36.9075089436,37.5076810578,36.797218922,35.7766151729,35.9100169828,36.2666626731,38.3952091387,37.5742288837,35.75340108,33.2695563737,,
Lazio,53.1103907667,54.9660632372,54.6979260914,57.2351612976,57.9695717362,60.0851386344,65.0318086564,61.5452260911,58.4251547167,59.651186907,61.6407355594,63.3330398397,63.4836130018,63.352449993,60.3445377398,,
Abruzzo,42.1939233274,39.8183678243,39.853495817,39.5201608428,41.0848424833,45.32236394,44.629048227,44.8394191117,42.5449806045,41.8487356884,41.9109938439,44.2409341943,44.7999992219,44.5916695019,42.5625094141,,
Molise,38.1469998346,37.9430052215,41.344336081,39.749795345,40.2942090777,41.5991274481,39.5187426893,40.2154333204,37.2864843034,37.5560424868,38.0106105374,38.26761571,38.1674728375,38.1434842092,36.2941052238,,
Campania,36.6628896807,36.9713460059,37.2080459982,36.4901869993,37.4114316464,39.1923969276,39.5894379601,38.6395519767,36.8701576496,37.5504891633,39.3853872588,40.4916814229,40.3488827939,40.0061014993,37.9688253627,,
Puglia,34.6958420402,35.4762307104,35.3349053564,35.2777490781,36.6088825893,37.8876892744,37.7316584146,37.4097631511,36.2584836722,36.2049261931,37.3867123218,37.9684210765,37.328702085,37.5842026914,35.6683144339,,
Basilicata,43.4879903494,43.8560039479,44.9723517535,41.8243517777,42.478140103,41.8455092848,41.6565864835,40.4322214553,37.0094568668,38.0031549896,37.4648908894,40.2068227347,39.9630083515,40.1493910672,37.534943849,,
Calabria,34.9017080725,39.0468181108,39.0849340383,39.6381262869,42.8651957211,42.9173708119,43.5801838004,44.0443702885,41.7974511334,41.5996264678,42.0317088034,39.6707921108,39.400791616,38.8427382782,36.3305560579,,
Sicilia,48.9342088006,52.47878847,50.2017296724,50.2913468658,48.4157314084,48.1377105936,49.1176716593,49.9798500426,46.864017856,44.9007551625,45.991492949,45.6243591658,46.5258155499,45.8200649158,43.5512335048,,
Sardegna,43.5839768494,43.7760900423,46.8229163647,44.4660363877,46.8761381941,49.1310198851,46.9356093233,49.028426325,46.1708914409,46.034081752,47.083489974,45.6453003668,46.6702519401,46.283041531,44.0668533501,,
Italia,42.723527012,41.2534890712,40.846448577,41.5344365099,41.8266436863,43.3375698919,44.3846621448,44.8771005666,42.921489717,42.0996989654,42.5165815726,42.6487504977,42.905676876,40.7467195912,37.8848271665,,
