Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,32.8748693256,32.208135811,28.9592095337,31.6824663598,34.6801863948,25.8172360151,20.4497946002,23.8745682394,35.2392580306,48.1888469485,49.357324529,48.729095401,45.8476103685,47.862537661,44.5026618308,48.2505473908,
Valle d'Aosta/Vallée d'Aoste,29.9704059682,13.1518148315,29.287139249,29.0859001002,24.31148919,54.7569419943,25.9994812511,78.6045914705,30.6355163358,15.3294597602,19.9821415643,29.224229543,35.1719330855,35.1478686213,34.0321018403,40.2614935089,
Lombardia,35.465363564,41.6385434335,44.6114143164,37.2239936398,39.331647636,35.4392840091,41.2148435183,30.6958740042,37.3692442068,38.6012942186,37.2723559316,39.6318000885,36.3434682736,37.414304595,39.1191865423,43.2474192698,
Trentino-Alto Adige,14.0400896696,20.0673363159,20.3029555696,26.6744936863,22.1241525647,25.4690197584,16.60660626,11.9348794431,18.1867851241,19.6483315129,22.3532999889,21.5336658354,26.0916875308,21.9838992272,23.6434190974,22.0700671997,
Veneto,30.0081239905,25.5373092688,23.1015812064,23.0845978903,22.1050441019,19.7315592854,15.8183382295,17.845717437,23.0222985359,31.0976812359,37.4577346218,39.3608030494,36.9053534932,32.5835427874,32.257765145,37.885439446,
Friuli-Venezia Giulia,13.9796004398,18.6342345683,16.7787072975,14.6864984156,15.6905477888,12.6448522788,7.55252663729,0.320605477808,17.3846690935,39.2171576052,33.0392261976,34.4626691763,42.8041982153,36.8817588196,26.9630160022,30.7860237016,
Liguria,51.7246916331,51.2589091314,50.4370370458,48.1505523031,50.1742830335,46.8109321302,47.0173851753,53.7595495837,50.4129915415,50.4010805992,38.0951272118,47.9090475433,32.5986900991,32.3181808642,42.6455036586,42.6356550027,
Emilia-Romagna,26.424181154,23.7179936794,23.4953076858,25.5574741793,28.2347875964,19.8413826596,25.3786596591,21.3986798198,28.4148234727,28.7165963993,32.8103531415,28.9752088029,29.6782535183,28.1956328845,29.6433616608,35.2732165693,
Toscana,60.5870064421,57.5243992745,56.977040624,55.429864444,55.9990835075,62.6049205791,55.0136672902,55.0065189148,43.3562046784,37.6767924028,34.0708015659,43.368724497,39.6728007179,35.982371813,37.6065477812,49.6961670916,
Umbria,28.7279015664,33.332845549,34.1376182626,32.7962959643,36.3610195264,24.8590024124,14.3140040341,20.6667709196,40.4058337188,42.1099446415,46.3099080429,43.0922027868,47.6322796022,44.8184909822,37.8301346048,41.0009702181,
Marche,38.7523392682,33.4756108318,41.4241216109,39.0768072624,44.1662048151,39.9605404054,34.8131492298,30.3968013632,35.0325710482,29.5786456144,37.5202020823,39.5227198431,45.1326648599,40.4983741269,36.6024492422,50.2620861622,
Lazio,37.7381876201,41.1641742348,41.3403805867,42.0280612943,45.0815563663,48.770082205,46.5956455746,42.7986719326,48.1436352114,51.8375631595,54.0604976252,52.1506131489,52.9140285724,44.7113108912,53.3506276058,49.0716826096,
Abruzzo,59.5963214207,59.344286928,58.0342683278,56.4957833981,61.4908529541,63.3204231269,56.1828016854,56.7906223124,51.8882121715,50.2255595512,46.6049036542,50.1895072811,45.7706052831,47.5114017564,47.8975698424,57.6176349048,
Molise,56.2651761511,55.5207118422,54.3722482566,54.1846752354,60.5897968497,57.8368319733,57.15674237,45.9948360907,61.1200974027,52.5412623631,55.6614202695,59.8266327903,54.3855362815,56.0854838418,53.7585450632,49.609914407,
Campania,50.76816257,51.9751969427,51.0679359637,56.5708392312,54.8642908984,55.5346277581,58.0769115179,52.658845818,59.8167307016,55.3741698075,58.8259763153,58.6864840519,56.7201113656,60.8256897682,58.4745524346,64.086899507,
Puglia,44.486118595,46.1786527309,51.3490528481,51.0856159764,54.0262827814,52.5357577075,50.8444790483,53.1215454977,59.3831548493,60.1808894935,56.4496696088,58.9184988047,55.7251339663,55.0013481137,51.1238032323,54.5607277352,
Basilicata,37.9022871242,38.3284993876,42.552378164,51.1063552033,47.576963551,51.5956787158,59.9435370073,55.6162548884,66.1763412522,60.6877884604,61.023906951,62.9026845638,60.2250432053,59.1576544886,60.5819764415,60.221894698,
Calabria,42.3781235232,42.5205731789,47.8528638747,53.5486867094,55.2239269955,55.2293729137,54.3852612137,47.1271611265,60.3165038686,58.8596709967,60.0258124568,59.2295862685,58.1207743214,51.2972408689,50.1764346643,54.9863482599,
Sicilia,53.7756832903,58.6583088541,61.3526616312,63.1105409521,63.3638680763,64.8131461605,63.7363043956,63.5473285582,67.8924892648,67.02337469,64.0804913582,65.9496749494,65.1524879875,63.301338434,66.0976737633,63.0765356972,
Sardegna,58.6176565487,58.9152345291,59.8005425165,64.4619702396,62.8506226048,61.0327932834,62.2054100687,54.8726198397,58.4635664774,53.3358915097,57.4901629904,56.038531964,47.6945018975,50.6246422574,46.7111952272,47.4294593728,
Italia,43.1839730066,44.6320404641,45.5256716927,47.2074484736,48.9404195343,48.837294377,48.6247982318,45.8266229756,51.3803600408,50.5254758467,50.4653121025,51.2502463596,49.1520547849,47.5830392437,46.9737007188,49.8627358051,
