Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,21.7662300598,21.6353048984,21.072034752,20.651284288,22.1971199249,22.6056670831,22.1311986499,22.5758628111,25.0580649747,26.9299320788,28.0816708784,28.4925788604,29.4308156976,30.6320292827,32.6913457057,34.5492181301,37.3445908741
Valle d'Aosta/Vallée d'Aoste,28.587944656,29.2446208775,28.3043379479,24.1669971186,25.7468368406,29.0240227001,30.3706357075,30.3822124313,29.7419968192,32.0223408289,31.0914818982,35.1549162645,35.2003763959,35.0049380356,36.7075889698,38.1903379357,38.943946601
Lombardia,25.0213112417,25.4169411095,24.7561056203,25.0373330841,25.5550020331,24.648768013,24.8425255282,25.7539514565,27.65889097,28.2934385607,28.8235858774,30.5727742565,31.5605620252,31.969770398,34.9894504899,34.938730269,36.3871750855
Trentino-Alto Adige,34.4180594385,33.7504487819,31.816923455,32.6874475189,35.3515053351,34.4467548282,34.6229611554,34.4596624396,33.4239317019,32.1644902888,32.012552663,33.9719751604,35.4127240044,35.7634970424,37.8725471739,40.9672071425,43.6050290326
Veneto,24.4022013429,24.6187756092,23.4522569368,23.5112757014,24.0652403977,25.1020540373,24.4480454003,24.8594664763,27.8269627083,28.0684752905,27.4329682537,29.0617128272,31.0136255661,32.1580935974,34.25326303,35.4080755403,36.9813287852
Friuli-Venezia Giulia,24.1803720321,24.2896494412,23.6836528365,23.787540461,23.8897749403,24.5854304606,24.3398166455,24.202024233,26.2152442494,26.4633470906,26.4182467892,29.6336812839,29.8150016623,28.9532144359,30.571546393,33.0977435128,35.3654376588
Liguria,22.4908874645,23.4912340593,23.7573690533,25.1414407756,23.4050727718,22.5984029602,23.9940069073,24.2604996776,26.5369912432,28.2961438668,29.9085410378,32.4292912324,35.3213746781,35.56320111,37.4245870799,38.175837182,41.6878596073
Emilia-Romagna,28.1424732612,27.9532595981,28.6348907986,28.752726793,30.1029729193,29.2565353809,29.1296496998,30.1992635548,31.2159710238,32.0900978864,33.3746114206,35.2060729232,38.3047348456,38.7528416671,39.4697466622,39.0766397726,42.1578029437
Toscana,29.4775421364,29.1718497954,28.4792333454,28.3926053485,28.1442887374,28.3737956521,29.4242499342,30.1908735017,31.4534905438,32.2205037928,35.4932005976,35.1743353371,35.5379825937,37.1433092251,39.1831655783,40.1382384521,41.6766165318
Umbria,31.0549993856,32.2602548171,32.31087043,29.7225275486,31.5102299614,31.2662412561,31.8745513904,32.425782182,27.5319275933,30.9725158061,32.9508477399,30.9139154057,35.8049395683,37.4007560658,36.6335444571,36.0913723681,37.4355804011
Marche,35.0170550672,35.8570956613,31.9788929608,30.1642959776,30.4284134607,30.9791708642,31.4260520527,32.1871507126,32.4956128684,32.730246929,32.7477795875,34.8215432537,36.4700315786,35.3985333554,38.588107767,41.2143720427,41.1435384429
Lazio,30.6914922968,29.8088218147,30.8022960753,31.0987452782,30.3110860254,30.4252188713,29.2365527815,30.2438053105,31.6492977003,35.1053368899,35.8384337855,35.7942549975,37.9230200367,40.9399632058,40.1044669562,40.9126507047,41.3413748915
Abruzzo,32.6807719161,33.2445788401,30.4607577783,29.2505598748,30.5133762749,31.2879039294,31.2324550633,31.804306866,33.1200308178,34.4342465899,35.7846212097,36.5672135132,35.4538628291,35.8562253205,35.1158250615,37.0380626057,40.2621954226
Molise,38.2410749037,36.3497739141,36.3967545246,36.6429960131,34.0691231118,36.4162835304,36.2562586131,37.0944916868,32.6739911642,34.08632795,37.3658762044,36.9564392395,34.2703765311,35.6918827592,37.1886790869,37.5815744486,39.1748388013
Campania,33.9081487551,33.576764192,33.4764595592,33.9953848961,33.5412684437,33.9905467947,34.5777644597,34.8195997179,32.9271549128,32.2534105294,32.380647118,33.4474712754,35.1574648349,34.4245878802,34.788682434,34.8917114951,35.5060710775
Puglia,23.6889996261,22.9802305952,22.3287707999,22.5213653713,22.2227402005,22.9342857154,22.8467627592,22.8025817272,25.8789766417,28.50470695,27.7097339023,29.1226364488,31.4686500027,31.5756536619,31.8610923421,31.9225092533,32.4474472609
Basilicata,39.8335176211,39.0655383517,39.8338663019,38.6727736038,37.5746803049,38.1171365899,37.1204952246,37.839964693,34.1028062968,34.8384879245,36.491181225,39.7169845522,39.1631136834,39.2092874345,38.2473014895,38.2024764693,39.3670865512
Calabria,31.697586775,32.0222630029,31.6258764138,32.0791692817,31.1982944971,31.0379617792,32.1036714128,32.2915673248,36.1879342919,38.2342916288,37.7026654861,36.8160424214,37.1326247056,36.6545032261,36.554236699,37.6200793756,38.49560925
Sicilia,26.5203582762,27.4363288042,27.4741637842,27.8294613841,26.1213634289,26.7316566846,27.604658269,28.6666433306,28.2065572308,30.0827943981,33.0480357352,33.4219284168,32.7549918795,33.68915149,34.7568645402,35.9292775559,35.0769681952
Sardegna,33.544396611,32.3891828225,32.5961189515,33.3239379963,34.7321952285,32.6044508583,31.6704116193,33.7024679164,29.749388959,29.294877096,31.2790111698,32.2690294239,30.9827684044,30.2966385848,32.5779870928,36.9596335429,38.0636747008
Italia,27.7240465883,27.7124915584,27.2886252272,27.3711736425,27.4932816179,27.5124662218,27.5925808271,28.2574654317,29.3784283422,30.5451465226,31.4267061541,32.4758066401,33.7514359877,34.4256968951,35.7476777499,36.5932584913,37.9299251773
