Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,,,,,,18.9469687302,20.385705534,20.3501682601,18.4551612386,20.6785315866,18.6857517623,19.3380689978,19.7979129388,,,,
Valle d'Aosta/Vallée d'Aoste,,,,,,11.9201464622,13.9208458817,15.6526163158,15.0183971861,13.4800706184,12.1916869254,12.3895109411,14.6419599805,,,,
Lombardia,,,,,,26.3448261494,26.9760043538,26.7317001973,26.0369000192,27.1213768645,27.5288093747,27.4942928569,27.9729358405,,,,
Trentino-Alto Adige,,,,,,20.4299814263,22.3880755416,22.7030880861,21.5485504139,23.0242501208,23.4822124983,25.6566245539,27.05059201,,,,
Veneto,,,,,,22.3260017312,23.0681084206,21.1780011103,19.9568683363,24.1930616471,26.6698657554,24.6563267041,24.5426024771,,,,
Friuli-Venezia Giulia,,,,,,21.9445474928,21.0025124849,22.2490110641,19.3228404214,21.1429154983,23.0539119345,20.8196978294,23.5144856695,,,,
Liguria,,,,,,27.7799386342,24.7682258022,26.322716544,27.9426032868,27.4772882897,25.7418001298,24.3174311271,25.4956023102,,,,
Emilia-Romagna,,,,,,24.1905957719,24.4614543031,23.0728376747,21.9738258692,26.2678320784,26.9977208999,25.8979503419,25.8820827728,,,,
Toscana,,,,,,22.7213669954,20.5615785121,23.1805001945,22.1938097997,26.5967127634,25.9838660466,26.0873176755,28.2182491699,,,,
Umbria,,,,,,22.6776196245,20.1455903801,21.7901261338,21.1478344278,26.2187587979,24.2343275517,26.4825901732,29.7221355435,,,,
Marche,,,,,,18.0480595124,18.235085883,18.9837004732,15.5700351362,16.7801082962,19.3817845018,18.8914878927,20.1411372792,,,,
Lazio,,,,,,19.4764701328,16.2663074408,17.2881861233,19.1338942482,23.1308066791,21.6362702823,20.7669800222,21.6818121529,,,,
Abruzzo,,,,,,17.9394929877,16.0916749512,16.4536327398,15.8291783569,17.6074691162,18.1208872118,17.9152296391,15.1745722801,,,,
Molise,,,,,,13.8071275524,14.3371615312,15.0117266486,14.9156934585,16.6730331971,19.1283330323,18.7994611453,17.9547905047,,,,
Campania,,,,,,16.5715235596,15.6896796804,17.0065254571,16.5055662392,19.1560455785,18.2973341137,17.726759833,19.1703554021,,,,
Puglia,,,,,,16.5985643851,14.8453821677,15.7431581746,16.3002757875,19.5793821603,20.3468646326,18.4929853308,18.0132463423,,,,
Basilicata,,,,,,17.9138649496,15.9952135756,15.9613997661,15.8354668411,19.5541966678,21.2690049945,19.7474857231,21.2605515013,,,,
Calabria,,,,,,13.0285136805,14.8682991642,14.2303110911,14.5915432381,17.6630084444,14.7148985809,15.3645287887,17.2275983224,,,,
Sicilia,,,,,,20.1058085403,17.9440097868,16.5679874709,20.5465155791,21.9442889244,21.4617971053,19.6684100878,21.0621180078,,,,
Sardegna,,,,,,15.3532656663,15.767048261,15.2220700528,15.2053684269,17.7398804891,16.6944291104,16.3738647844,16.5558219578,,,,
Italia,,,,,,19.8615701416,19.3190910446,19.3897409193,19.2733500276,22.0464217269,21.8078556743,21.2311568575,21.9852096676,,,,
