Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,,,,,,,,73.2248711416,62.1118595184,56.5022421525,55.8165415094,50.7920503703,45.3375309102,41.349351167,41.7022982362,,
Valle d'Aosta/Vallée d'Aoste,,,,,,,,79.2449092221,75.921350628,76.7123287671,67.8921839531,65.456942309,63.9244934328,61.6658031088,67.2840672841,,
Lombardia,,,,,,,,25.2629409251,23.4507852018,19.5575036527,15.3713847511,16.5038361392,9.72059461586,8.13190489466,6.70642740917,,
Trentino-Alto Adige,,,,,,,,47.9184285425,45.0663352615,43.719599907,40.5212536009,39.1871659492,31.8776134084,35.8348163088,25.9954066369,,
Veneto,,,,,,,,46.8460656653,36.5130761284,36.6590389016,36.5583491467,35.637881929,29.0339416341,22.1442176307,22.0443011181,,
Friuli-Venezia Giulia,,,,,,,,34.800938631,30.9134762374,52.8813559322,38.8003823794,37.4311694318,27.9699252982,16.2557607452,14.4671573557,,
Liguria,,,,,,,,85.7171000375,86.1259338314,81.9517313746,78.4382621636,89.9336274141,91.7720525744,84.718247141,83.4921128166,,
Emilia-Romagna,,,,,,,,53.6305979072,54.3060611534,41.1872480762,42.8525037726,38.242936373,37.5820449127,40.1745214298,33.5869911648,,
Toscana,,,,,,,,40.4468699348,34.1586457957,44.9036918138,46.130782226,50.2073815142,50.6110138014,50.7346561886,46.3929379594,,
Umbria,,,,,,,,65.3889467037,72.885216378,54.5073375262,56.9602966967,58.1986309437,56.9950781636,60.3358263408,55.158224932,,
Marche,,,,,,,,79.5583003729,83.3535096746,76.6990291262,65.2145700405,65.6052051245,62.5375948441,61.977700751,63.474821418,,
Lazio,,,,,,,,93.7116494896,92.8273701108,89.0689545599,82.2599526566,85.0747412689,83.0576411561,85.7910635243,80.4903840037,,
Abruzzo,,,,,,,,79.1431608209,84.2179916225,77.4336283186,74.7743360244,80.7770297313,79.1703485236,79.7295867296,60.4752058916,58.9996490563,
Molise,,,,,,,,87.9612628846,72.6155797978,76.4227642276,95.2566465325,92.5154559565,95.4706733979,90.3118040089,87.8511663379,83.9178830598,
Campania,,,,,,,,77.0900783309,81.5260162162,70.0992459605,62.8928668215,58.8948842273,73.0106371605,75.4639591672,62.280033981,48.505131013,
Puglia,,,,,,,,92.6055082841,88.4775808133,91.608040201,93.2380419645,90.9576358714,91.1050826503,79.7895279131,73.5093055052,66.8738109746,
Basilicata,,,,,,,,81.337787962,81.589958159,75.1054852321,61.2702191723,59.5464406608,72.6198115714,79.9417177914,79.2130261421,83.4342193231,
Calabria,,,,,,,,89.6189796705,79.52004535,74.6822033898,84.649762729,66.7617466959,54.6618179505,56.9337525751,65.2559466771,60.8924163194,
Sicilia,,,,,,,,92.0349320171,91.2598425197,95.4402515723,90.9966607715,93.6614756544,92.5355391329,88.8673030486,88.4119366684,93.4450546756,
Sardegna,,,,,,,,72.7326845802,83.8326306186,72.0956719818,73.5827135285,65.2701442333,58.1204257072,52.1295618283,42.0251362622,40.5635018167,
Italia,,,,,,,,64.7577233238,62.7376629052,59.8186395743,57.4430653291,56.7722142261,55.0482767639,52.9602600916,49.1328602182,,
