ID,Titolo,Sottotitolo
062,Grado di diffusione di Internet nelle famiglie,Percentuale di famiglie che dichiarano di possedere l'accesso a Internet sul totale delle famiglie
071,Indice di diffusione della banda larga nelle imprese,Percentuale di imprese (con più di dieci addetti) dei settori industria e servizi che dispongono di collegamento a banda larga
