ID,Titolo,Sottotitolo
013,Tasso di occupazione,Persone occupate in età 15-64 anni sulla popolazione nella corrispondente classe di età (%)
015,Tasso di disoccupazione giovanile,Persone in cerca di occupazione in età 15-24 anni su forze di lavoro della corrispondente classe di età (%)
016,Incidenza della disoccupazione di lunga durata,Quota di persone in cerca di occupazione da oltre 12 mesi sul totale delle persone in cerca di occupazione (%)
113,Capacità di offrire lavoro regolare,Unità di lavoro irregolari sul totale delle unità di lavoro (%)
174,Tasso di disoccupazione giovanile (femmine),Donne disoccupate in età 15-24 in percentuale delle forze di lavoro nella corrispondente classe di età
178,Tasso di occupazione (femmine),Persone occupate in età 15-64 anni sulla popolazione nella corrispondente classe di età (%)
230,Tasso di disoccupazione giovanile (maschi),Maschi disoccupati in età 15-24 in percentuale delle forze di lavoro nella corrispondente classe di età
