ID,Titolo,Sottotitolo
020,Tonnellate di merci in ingresso ed in uscita per ferrovia sul totale delle modalità,Tonnellate di merci in ingresso ed in uscita per ferrovia sul totale delle modalità
022,Tonnellate di merci in ingresso ed in uscita in navigazione di cabotaggio sul totale delle modalità,Tonnellate di merci in ingresso ed in uscita in navigazione di cabotaggio sul totale delle modalità
026,Tonnellate di merci in ingresso ed in uscita su strada sul totale delle modalità,Tonnellate di merci in ingresso ed in uscita su strada sul totale delle modalità
UV3,Lunghezza della rete ferroviaria per superficie regionale,Lunghezza della rete ferroviaria per superficie regionale
UV6,Lunghezza della rete stradale per superficie regionale,Lunghezza della rete stradale per superficie regionale
