ID,Titolo,Sottotitolo
131,Intensità energetica dell'industria,(migliaia di tonnellate equivalenti di petrolio per milioni di euro di valore aggiunto prodotto dall'industria)
080,Energia prodotta da fonti rinnovabili,GWh di energia prodotta da fonti rinnovabili su GWh prodotti in totale
081,Potenza efficiente lorda delle fonti rinnovabili,Mw di potenza efficiente lorda delle fonti rinnovabili su Mw di potenza efficiente lorda totale (in %)
231,Grado di insoddisfazione dell'utenza per l'erogazione di gas,
086,Consumi di energia elettrica coperti da fonti rinnovabili (escluso idrico),Produzione lorda di energia elettrica da fonti rinnovabili (escluso idrico)  in percentuale dei consumi interni lordi di energia elettrica
082,Popolazione regionale servita da gas metano,Popolazione regionale che risiede in comuni serviti da gas metano (%)
085,Consumi di energia elettrica coperti da fonti rinnovabili,Produzione lorda di energia elettrica da fonti rinnovabili in percentuale dei consumi interni lordi di energia elettrica
060,Interruzioni del servizio elettrico,Frequenza delle interruzioni accidentali lunghe del servizio elettrico (numero medio per utente)
