Territorio,CostoPubblico,ContributoComunitario,2007,2008,2009,2010,2011
Campania,1118000,559000,0,642,33387,13814,107608
Puglia,1279200,639600,543,4736,54011,98391,113952
Basilicata ST 2,322366,128946,613,7876,40655,31680,35260
Calabria,860499,430249,39,1038,67334,58653,92043
Sicilia,2084308,1042154,19853,27086,6985,37464,261536
