Territorio,CostoPubblico,ContributoComunitario,2007,2008,2009,2010,2011
Governance e Azioni di Sistema,517858,207143,0,0,34123,35108,63799
Competenze per lo sviluppo,1485929,742965,0,63613,255332,227740,111703
