Territorio,CostoPubblico,ContributoComunitario,2007,2008,2009,2010,2011
Governance e Azioni di Sistema,517858,207143,0,0,34123,35108,63799
Competenze per lo sviluppo,1485929,742965,0,63613,255332,227740,111703
Campania,1118000,559000,0,642,33387,13814,107608
Puglia,1279200,639600,543,4736,54011,98391,113952
Basilicata ST 2,322366,128946,613,7876,40655,31680,35260
Calabria,860499,430249,39,1038,67334,58653,92043
Sicilia,2084308,1042154,19853,27086,6985,37464,261536
Totale,7668160,3750058,21047,104991,491827,502851,785902
