Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,,,,,5.7185,9.685,4.04275,2.2805,2.65666666667,6.01966666667,4.13916666667,45.8778333333,40.1898333333,27.6292857143,49.04625,57.49525,
Valle d'Aosta/Vallée d'Aoste,,,,,,,,,,,,,,,,,
Lombardia,,,,,,,,,1.1625,1.542,,,,,,,
Trentino-Alto Adige,,,,,,,,,,,,,,,,,
Veneto,,,,,0.150666666667,0.171,0.156333333333,0.130333333333,0.458,0.872333333333,1.179,0.927333333333,1.115,0.731,0.3744,0.0884,
Friuli-Venezia Giulia,,,,,,,,,,,,,,,,,
Liguria,,,,,0.209333333333,0.8035,0.953,1.047,0.586,1.1485,0.653,0.5625,0.6635,0.827,0.614,0.795,
Emilia-Romagna,,,,,0.816666666667,2.26166666667,1.72533333333,1.87866666667,2.997,1.11366666667,0.675666666667,0.5808,0.6382,0.784,0.7668,0.807,
Toscana,,,,,4.732875,7.82766666667,6.45986666667,11.4011428571,44.5414444444,43.43775,46.1172941176,57.1027777778,65.3545789474,57.3706842105,63.7545,68.5273125,
Umbria,,,,,,0.331,0.3125,0.3585,0.271,0.2855,0.2915,0.312,3.74,2.566,0.9105,0.1465,
Marche,,,,,,,,,,,,,,,,,
Lazio,,,,,5.1696,6.0147,8.88518181818,264.800454545,290.140636364,276.124692308,336.829692308,353.852923077,383.692230769,408.225,367.961142857,404.990928571,
Abruzzo,,,,,,,,,,,,,,,,,
Molise,,,,,,,,,,,,,,,,,
Campania,,,,,12.28775,280.020125,203.925941176,97.8857058824,57.063375,52.0385882353,48.3557777778,51.7227058824,47.6843888889,36.5489444444,42.7127647059,45.6265882353,
Puglia,,,,,,,0.003,0.03275,0.01075,0.065,0.34925,0.5935,0.88575,0.825,0.67325,0.714,
Basilicata,,,,,,,,,,,,,,,,,
Calabria,,,,,,,,,,,,,,,,,
Sicilia,,,,,,2.75423529412,5.4524375,7.63378571429,8.83678571429,10.8610714286,12.6752666667,,,,,,
Sardegna,,,,,,,3.202,1.9345,1.797,2.5845,2.362,2.4355,2.1385,2.174,2.307,1.1645,
Italia,,,,,4.56532142857,40.2174516129,49.0827532468,62.4342564103,59.6470235294,63.9856309524,73.6673176471,94.4051527778,99.3561756757,96.9173466667,100.139323944,109.626591549,
