Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,79.8285661921,90.7195225531,84.8977921482,103.21799859,113.178041048,101.917900101,109.668119935,121.307889465,132.921659335,143.388896337,145.188398628,141.407944576,138.360406,118.202316841,56.0053097259,,
Valle d'Aosta/Vallée d'Aoste,19.2538903555,5.96612943092,,11.2374265448,35.7884188677,85.4076388189,68.4200168328,99.810775405,49.3930824988,45.1598151142,81.2652422968,65.6778809438,26.5559768891,29.0068130444,38.0495114364,,
Lombardia,93.7301913033,110.846862426,125.999134198,121.659108121,135.910535955,153.023843134,146.844778205,154.031636765,150.264981375,153.717661823,153.595232298,156.415322027,143.409523747,123.914874335,70.9710760748,,
Trentino-Alto Adige,30.1980843954,38.5325934811,37.0999292554,46.969760364,43.4246626381,73.7368119288,42.9536183013,65.592807424,56.2061183747,52.9457528018,74.8160088501,70.3696426614,89.0323031814,85.166077306,59.6018304602,,
Veneto,63.1060141761,67.9516823248,78.4034067774,81.3619214713,94.8520795418,99.5994384912,109.178579446,109.436117301,116.93753798,122.523654187,140.42838179,134.141909259,139.089604778,109.904538929,61.6657341621,,
Friuli-Venezia Giulia,72.5056200741,93.0226640968,95.9649294891,77.5370949628,100.902715449,91.0185508148,85.5448632699,93.5503713175,90.79515854,119.239004455,122.437003625,155.753279799,134.934485799,126.090655635,79.4153382434,,
Liguria,49.1394931691,41.1339167617,50.789436417,48.7309340688,57.0308367693,58.5526980598,52.6325483439,54.1531238772,67.4991133995,56.5906246579,52.7035141609,75.8169950889,82.5372160239,73.7142336194,36.9725011993,,
Emilia-Romagna,94.9681753944,105.880683926,124.736998763,131.54270675,153.044102116,167.652948462,168.12100285,178.523436675,179.498709051,168.997289552,188.496696097,196.694234725,183.283669053,146.999325848,78.2385349001,,
Toscana,34.5324102606,37.3273065078,45.3769300688,52.2295885087,63.6918772947,63.1448011892,70.8820307616,79.9647756888,88.7669334278,78.2207432925,81.466959429,80.6466390643,76.1558818355,70.3411544637,34.9343663064,,
Umbria,20.5428497184,23.9961871089,33.2365616869,31.1053015289,40.5350430509,37.7380971197,34.9252264474,36.8584551007,39.1028110273,54.307072222,51.06508163,45.7593869644,53.8517608513,40.400928333,15.1419600537,,
Marche,30.6777927022,45.2977310523,37.8956592339,47.3022799878,50.56588497,59.4108814531,50.0616827798,59.7687740804,54.4652689411,55.8802780917,68.8609914263,75.2257735716,85.6413764126,64.0355391478,42.7276678427,,
Lazio,25.2563370662,30.926269166,34.6926105479,39.0283922878,31.7531770998,40.2822001574,39.1188907637,35.8106106668,41.3083096576,40.5055373638,44.526820965,42.1963670228,38.5695191701,35.7641905277,11.179124378,,
Abruzzo,23.4434919806,64.5063473689,41.270344599,60.4290997906,42.0521479947,53.0281466235,42.0893465453,32.4333320319,39.1219062356,45.4361186584,37.9946240832,43.68468711,48.7663377103,28.3977429248,17.3251300787,,
Molise,7.48514381517,3.05284318918,3.30954343623,13.3283262331,2.84435210606,7.76102259234,16.1075498298,3.11762486867,,4.66091820089,11.1377282768,1.09207605218,7.02124472627,2.08842126262,,,
Campania,3.74018049047,6.69094967609,5.50790104033,7.18179786437,8.1226935838,8.19407547862,9.77604152881,8.00245954859,10.6743740407,13.3895108629,17.3213706664,18.1588717357,13.8119153974,17.096866991,8.51204678893,,
Puglia,4.14903286611,5.15120856131,5.61678520485,5.47414565948,9.24944528093,8.92287101067,8.69797157536,8.20045410823,9.38133877383,14.9559319175,13.2756980153,13.4252308605,14.7254958163,13.3173979016,8.57450454369,,
Basilicata,5.90783288382,7.81189611987,11.7892154236,15.8433263709,10.705447496,4.04712654016,3.34204493045,5.57653968177,13.3520854466,2.68108644325,11.7752588541,8.43580018626,9.65882035524,11.7467641389,5.71438260929,,
Calabria,0.867526519534,4.49203465131,2.10392206138,5.88100138348,3.03268989026,3.41016163919,3.56473936567,5.80032685962,3.79224282298,7.74510111162,8.75505115875,7.41042961753,7.20462713808,3.58030642244,4.07163793084,,
Sicilia,9.421155197,6.38803265962,8.29926950261,12.558623888,14.6050270503,12.3776736934,12.4339571732,14.8644673923,13.8821695722,15.5026639962,15.8440037594,13.1950405384,8.44270427721,8.58208636479,6.61456030583,,
Sardegna,6.05787267503,4.16435692358,4.70353326384,9.04426397816,8.82835315851,7.30168516172,8.92320713661,7.69775363884,4.93791787511,11.575550203,10.4001265681,8.80812760926,12.0178282497,12.5396434354,8.09354535272,,
Italia,43.5807968617,50.864328747,55.5153695911,58.9213116814,65.6128194803,70.3570721337,70.0590553589,73.9641683529,76.213108289,78.6395465705,83.2021161689,84.5163439091,81.2856681951,69.6349367453,37.378786377,,
