Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,,,,,,,,,,,,251.568958223,,,,,
Valle d'Aosta/Vallée d'Aoste,,,,,,,,,,,,195.640373198,,,,,
Lombardia,,,,,,,,,,,,279.269883972,,,,,
Trentino-Alto Adige,,,,,,,,,,,,367.355767413,,,,,
Veneto,,,,,,,,,,,,1027.41992849,,,,,
Friuli-Venezia Giulia,,,,,,,,,,,,261.543463779,,,,,
Liguria,,,,,,,,,,,,88.5925521072,,,,,
Emilia-Romagna,,,,,,,,,,,,226.451702506,,,,,
Toscana,,,,,,,,,,,,1478.1924716,,,,,
Umbria,,,,,,,,,,,,601.046400948,,,,,
Marche,,,,,,,,,,,,427.201388937,,,,,
Lazio,,,,,,,,,,,,218.78630585,,,,,
Abruzzo,,,,,,,,,,,,168.872976339,,,,,
Molise,,,,,,,,,,,,593.705293276,,,,,
Campania,,,,,,,,,,,,592.25591922,,,,,
Puglia,,,,,,,,,,,,549.521938441,,,,,
Basilicata,,,,,,,,,,,,897.375215146,,,,,
Calabria,,,,,,,,,,,,385.56851312,,,,,
Sicilia,,,,,,,,,,,,174.065282404,,,,,
Sardegna,,,,,,,,,,,,647.734945608,,,,,
Italia,,,,,,,,,,,,420.689736664,,,,,
