Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,58.4585103077,60.386215726,56.4809707667,50.8726094681,47.4636895729,52.5959837686,53.6769138035,52.5778269964,51.4238837455,,42.3614641586,39.9736870957,40.890461997,42.706155633,43.7846557113,46.1634435434,
Valle d'Aosta/Vallée d'Aoste,64.0692640693,65.1785714286,64.5320197044,59.4470046083,56.1904761905,55.1020408163,49.3506493506,59.8901098901,52.9761904762,,39.2857142857,41.3265306122,41.1290322581,45.6221198157,50.2463054187,47.3214285714,
Lombardia,58.9086859688,59.7195784391,54.502324244,51.3644214162,50.0402641327,52.501270971,55.2387813915,52.4432915058,51.4319209513,,46.6054550365,44.518960501,41.9898672257,43.7584661874,45.479109332,47.5666666667,
Trentino-Alto Adige,69.1384950927,73.0694980695,68.5903500473,63.3116883117,63.3516483516,64.4518272425,63.8447971781,63.4920634921,60.8888888889,,59.1057797165,57.3817486861,59.1697080292,58.6005830904,63.4920634921,62.1097445601,
Veneto,68.6742857143,65.8708679683,59.9582235946,55.4574068433,55.3943702565,59.2394655704,57.0466930228,57.2406300923,56.590370955,,50.5170432784,47.8689226815,47.0552466991,48.4121654034,48.5436893204,49.30786268,
Friuli-Venezia Giulia,63.1428571429,65.6119125174,61.3955408753,56.446991404,53.6054421769,57.0647931304,52.1994134897,58.9635854342,56.5746753247,,55.9725585149,46.6481738326,46.6061827957,52.3676880223,52.7565392354,52.2702104097,
Liguria,55.4396423249,61.7204776648,55.4750932631,54.6192670617,54.3727106227,57.7436582109,58.2953181273,54.6543778802,53.7620742247,,49.5865412033,35.2247049962,35.2815699659,39.6908501621,41.0714285714,40.0379057095,
Emilia-Romagna,63.1243756244,62.0978120978,57.4731626755,52.8002118364,55.3878252332,54.6701043009,56.3659554731,55.994005994,55.0984126984,,51.7036302813,41.1041339613,44.7183098592,45.0452514606,50.6234150465,43.7222155473,
Toscana,61.6204690832,62.1182660414,54.0559359406,49.9871067561,49.249898635,53.2293377121,50.9280089989,53.112288919,49.1141732283,,47.0924057355,42.126130591,45.9582198002,46.452045607,49.756097561,48.0486008837,
Umbria,56.146179402,61.0217596973,54.8752834467,48.6356340289,49.504950495,52.6829268293,52.0064205457,53.4234995773,54.1991341991,,50.1623376623,46.7474489796,44.7058823529,48.3116883117,47.8638184246,47.5120385233,
Marche,56.1290322581,58.851884312,56.0515873016,50.8962520369,48.2520500647,52.1795425119,53.6945812808,56.8672485071,58.1207482993,,52.4066230266,43.8548752834,43.9724919094,43.6224489796,47.867803838,46.508443633,
Lazio,60.119047619,58.6179401993,57.0454268664,53.1482735274,53.3001808318,59.13304253,60.3435399552,61.1582400181,60.4710701485,,55.427864215,51.2100951125,52.5850340136,49.3060749605,51.6940272441,53.1740986286,
Abruzzo,58.5179526356,56.9506726457,49.4224924012,53.1084656085,54.2857142857,53.984206748,55.0793650794,53.9124192391,54.6957671958,,56.5031982942,43.5309973046,38.0801687764,44.0293040293,47.6793248945,44.6280991736,
Molise,54.9450549451,56.70995671,52.26039783,49.6703296703,48.8245931284,47.6833976834,49.2063492063,46.2053571429,48.8479262673,,49.7142857143,39.1891891892,38.2936507937,39.4456289979,42.2360248447,39.751552795,
Campania,57.8500707214,57.8028933092,54.3237028891,54.0986868285,55.9668234712,56.5791905378,56.8825708279,54.2193833681,57.9936192839,,58.7254381306,46.2124331,51.1136968085,47.9010256953,51.4852452609,53.7518536826,
Puglia,56.0312453057,53.6061776062,50.9085537007,49.9145591251,47.8918918919,49.7477295661,48.0446927374,46.5144051351,54.3905635649,,45.3207150368,41.3872301332,40.9090909091,40.7298136646,47.3762622082,46.146179402,
Basilicata,47.3269062226,54.1871921182,48.2794577685,44.3121693122,40.8986175115,36.8367346939,43.6224489796,44.5578231293,46.9172932331,,51.9370460048,37.0068027211,36.3938053097,40.6084656085,43.5574229692,38.189533239,
Calabria,40.1414879051,42.2043685664,30.374479889,33.1456720619,31.3595326606,37.2727272727,33.7048987973,33.7783711615,40.5679513185,,37.43462703,30.0406376993,33.3947368421,26.3525835866,28.7622682661,36.1552028219,
Sicilia,50.2438143399,53.6043666478,43.7914406269,42.5488180884,44.0444779495,45.1569582004,45.6200471193,40.6504065041,41.5607985481,,42.6547137073,38.8454011742,34.1870300752,31.7988491369,33.8678328474,31.5663372267,
Sardegna,55.9390048154,55.4752640356,54.3620501636,46.4901477833,49.8205312276,50.234741784,50.6024096386,57.1428571429,56.5986394558,,48.4408992023,42.8571428571,42.7983539095,48.9495798319,51.954887218,43.9674315322,
Italia,58.6320940652,59.4362588085,54.1385922156,51.253017911,50.7696793003,53.618890918,54.028092087,53.0066386257,53.4690931587,,49.6306421591,43.8131493832,44.3211659664,44.6882816556,47.234877816,47.4731499191,
