Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,,,,,,,,,57.1641305756,55.1604291594,54.0027504524,59.3130379677,52.8848267301,,,,
Valle d'Aosta/Vallée d'Aoste,,,,,,,,,53.2563344766,48.7818852591,56.6033840932,68.3996098318,52.9268939672,,,,
Lombardia,,,,,,,,,61.3841068737,61.7640809472,64.391943881,66.6013468916,63.2508270681,,,,
Trentino-Alto Adige,,,,,,,,,66.7443582347,65.8294405101,69.0715737766,71.9690609014,68.9396094557,,,,
Veneto,,,,,,,,,49.8617241978,60.5513952161,57.452071611,61.5728777571,66.6016750555,,,,
Friuli-Venezia Giulia,,,,,,,,,62.232597596,56.495232605,63.2654761079,61.6252995534,70.1222434284,,,,
Liguria,,,,,,,,,49.508459219,58.6198471018,56.0732792216,57.3478207409,60.1911485833,,,,
Emilia-Romagna,,,,,,,,,50.4836956749,60.5033881256,55.1759862851,59.0779275511,60.3691907251,,,,
Toscana,,,,,,,,,56.1798747618,50.616611689,59.4046859178,57.2688985526,62.0199314078,,,,
Umbria,,,,,,,,,54.0394515827,58.13884523,52.0710067268,52.8926433989,63.0863235514,,,,
Marche,,,,,,,,,55.9610523867,56.0697793975,58.7521325363,55.1093251554,59.5152525935,,,,
Lazio,,,,,,,,,57.9888404762,59.5186575484,59.1493982571,62.3507409404,71.8755131129,,,,
Abruzzo,,,,,,,,,54.0659583706,56.6137846804,55.8399975316,57.1359539124,55.1711744796,,,,
Molise,,,,,,,,,50.1042593498,44.9866105128,50.6058275721,55.372738185,58.7007401085,,,,
Campania,,,,,,,,,51.9704367439,57.2308007427,51.7440530132,61.523448329,67.2367824055,,,,
Puglia,,,,,,,,,50.2698419906,56.9922457116,53.2066335585,56.1782890597,60.9226095396,,,,
Basilicata,,,,,,,,,54.4989623644,63.875935401,58.6124910071,55.4935845949,59.3674352764,,,,
Calabria,,,,,,,,,53.1967401279,52.1017325547,63.6048859854,53.7325385656,61.0616066247,,,,
Sicilia,,,,,,,,,48.5845619437,53.4709204363,57.0493136176,63.8670486842,66.0828728698,,,,
Sardegna,,,,,,,,,53.0294932029,54.502886079,63.2616647033,59.0931199446,66.2924006073,,,,
Italia,,,,,,,,,54.9577740742,57.8450813561,58.3093051074,60.9974376026,63.3562598138,,,,
