Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,,,,,,,,,,7.6260173177,7.7877457538,7.7905840615,7.8142038212,7.8102671946,,,
Valle d'Aosta/Vallée d'Aoste,,,,,,,,,,2.4936872848,2.4936872556,2.4821956093,2.4821956093,2.4821956093,,,
Lombardia,,,,,,,,,,7.8619860045,7.8937341804,7.8490369948,8.4650585849,8.6703991149,,,
Trentino-Alto Adige,,,,,,,,,,3.1420199655,3.1404692647,3.1319000325,3.1319000325,3.1392492882,,,
Veneto,,,,,,,,,,6.5963579005,6.5780035165,6.7341165345,6.7395516568,6.7395516568,,,
Friuli-Venezia Giulia,,,,,,,,,,6.1820169299,6.1138095717,6.1335718894,6.1335718894,6.1335718894,,,
Liguria,,,,,,,,,,9.586022416,9.7058959154,9.7942470327,9.6835775747,9.6835775747,,,
Emilia-Romagna,,,,,,,,,,6.3119480201,6.3639524464,6.4356789741,6.4537643315,6.8814785141,,,
Toscana,,,,,,,,,,7.1031695411,6.9711322891,6.9777080576,6.6007756102,6.5920775036,,,
Umbria,,,,,,,,,,6.1507159421,6.150715938,6.1494505702,6.1494505702,6.1376247038,,,
Marche,,,,,,,,,,3.9765691414,3.9765691568,3.9715041995,3.9715041995,3.9818197948,,,
Lazio,,,,,,,,,,7.3747575473,8.0289359984,7.9663749705,7.9663749705,8.0603180442,,,
Abruzzo,,,,,,,,,,6.0724018488,5.8219165991,8.5759069974,5.992914424,6.0672451455,,,
Molise,,,,,,,,,,6.3623109557,6.0806998251,6.0842602441,6.0842602441,6.0842602441,,,
Campania,,,,,,,,,,9.3285769826,10.171969001,10.359824403,10.612726486,10.531602091,,,
Puglia,,,,,,,,,,7.6202067565,7.4578595819,7.4748190661,7.4489898181,7.4696532165,,,
Basilicata,,,,,,,,,,5.3121532329,5.4536795333,5.4529391342,5.5229768845,5.4529391342,,,
Calabria,,,,,,,,,,7.1593675474,7.0924270003,7.1217561694,7.2543773271,7.1018629957,,,
Sicilia,,,,,,,,,,5.8696337019,5.7957170749,5.8487674728,5.7865382671,5.7865382671,,,
Sardegna,,,,,,,,,,4.391618231,4.3241293339,4.3254659942,4.3296171132,4.3296171132,,,
Italia,,,,,,,,,,6.5056473002,6.5562980674,6.680166768,6.6233199278,6.6660516279,,,
