Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,,,,,,45.3669151309,47.2011980322,48.8450891232,49.3098249712,48.559793423,48.51318793,48.8616608667,49.1174470267,48.9012289717,48.9328102969,49.1260374287,
Valle d'Aosta/Vallée d'Aoste,,,,,,26.7845499748,27.0551600646,27.2543669402,27.2665887167,27.2359373403,27.2918989547,29.045091077,29.6593849967,30.1892547163,30.1905020198,30.1888858785,
Lombardia,,,,,,35.8868915785,36.9686879882,37.754568343,37.7819056619,37.2827819323,37.0725678956,37.4884070631,37.7606853635,37.9652536775,36.2761498832,36.4266460835,
Trentino-Alto Adige,,,,,,122.812200898,123.640887747,124.168157397,124.614339444,122.955986138,122.074172998,121.011686492,119.808346381,118.630556028,120.179705198,120.465313356,
Veneto,,,,,,59.4048296414,60.3044304523,60.7952112783,60.3355811723,62.3563183362,63.7880857791,65.3064328274,67.2869626462,67.3566431869,68.1957896468,68.852224326,
Friuli-Venezia Giulia,,,,,,30.4509014197,30.6924100894,31.1400213008,31.1177809861,31.2088607918,32.641269313,32.892447261,32.9970218228,32.9151471288,33.2155499021,33.4503846355,
Liguria,,,,,,37.6202899073,38.4560551124,39.2672923989,39.5067757241,39.6303967394,39.1938578516,39.1085659173,39.2383225261,39.2907243506,39.2695068756,39.3554868586,
Emilia-Romagna,,,,,,157.311649752,159.132688934,160.504235581,159.445438843,157.714395486,156.676609096,157.306690988,158.60414566,157.703926441,157.032187838,156.426837797,
Toscana,,,,,,208.201384214,211.529644517,214.984592955,213.162836917,210.689922366,209.405587896,208.725787381,208.157399207,208.303696798,207.604788385,206.674662,
Umbria,,,,,,193.951864783,197.835332466,201.521765262,198.424914653,195.251008787,192.09279286,190.35173635,189.348763691,187.587583961,185.850202109,184.451453481,
Marche,,,,,,195.21555744,194.160377392,193.067989296,192.088892775,190.381651223,189.962068924,191.506619907,191.141796346,190.238771399,167.73712761,167.429889534,
Lazio,,,,,,121.586960224,123.923616819,127.64060025,127.799650531,127.489579662,127.378207032,124.09199625,120.955899436,122.466858053,122.090530623,121.540397566,
Abruzzo,,,,,,696.443644437,704.075215992,707.712663751,696.954893194,686.717169193,680.597088733,681.230790805,679.255152092,676.373025827,676.771743134,678.200610615,
Molise,,,,,,17.754622637,17.8175400226,18.5444865022,18.4170636997,18.3062762193,18.311915552,18.3592974654,18.3405416524,18.4805250802,18.1798219178,18.1737225178,
Campania,,,,,,27.1424454311,27.3838864335,27.4097090012,27.4206077761,27.5270215906,27.7287871215,28.5622229307,28.678280297,29.2434656507,29.6567539062,29.8948732213,
Puglia,,,,,,118.149238816,121.027222387,124.522955794,124.557651024,123.194208885,122.388814117,122.691746101,123.29611638,123.800459105,97.1816778305,97.363722589,
Basilicata,,,,,,579.787631345,579.291992657,579.8069374,578.242507315,576.571012655,575.796239359,575.780493331,575.432206235,573.316218245,572.758760729,572.462777844,
Calabria,,,,,,19.7549276832,19.8342662624,19.9174004236,19.9260863854,19.890252435,19.8621566151,19.900412813,20.2766515293,20.8674744688,20.8759200569,21.1028052724,
Sicilia,,,,,,81.1701765433,85.6237241315,86.3978388656,86.731873768,87.0448962891,87.5216014815,88.4041887449,89.0139856867,89.4302007814,90.097480175,90.5482982557,
Sardegna,,,,,,103.220696718,103.936855511,104.81503658,104.631989112,104.300433041,104.31431669,103.879335367,103.810913945,104.095096286,103.875589226,104.295085389,
Italia,,,,,,105.337680851,107.325360022,109.115507783,108.922652814,108.358294387,108.149918407,108.130677837,108.087311813,108.431583893,106.1474749,106.123648607,
