Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,20.1057607955,18.5726071836,17.2185630848,18.0922112551,14.7191741116,14.5003731249,10.4551154845,10.0477726889,10.45582672,15.2534676146,14.0083914969,13.8133055592,12.355257897,11.931658145,20.7958224702,26.4073958429,23.9154892713
Valle d'Aosta/Vallée d'Aoste,32.3713886128,25.190949967,29.3298204018,32.7980299865,27.1552768565,30.6019062164,29.767572436,26.9957620107,8.86421090532,6.41923604592,9.13020508141,7.93721973094,9.72331344361,12.2156107805,14.6216597689,12.6548954303,20.1694359024
Lombardia,19.0983850325,17.2744335307,16.6031643601,12.6925774086,13.3779307082,10.9683965258,9.49500304946,10.1438632789,9.23723212404,11.7554518171,10.5698382793,10.7731997875,11.7533914344,11.2232781596,17.7281893375,19.0400951403,17.7119373662
Trentino-Alto Adige,9.34875830309,10.4097836816,9.80343859772,8.57405866638,7.51695149396,8.51776246403,7.83594916882,8.17001261659,5.78724167386,6.41654943373,7.65335176945,5.9843885516,6.0161304757,5.46585162322,8.59296076085,8.13706132315,12.6259365957
Veneto,11.5513751525,11.5116697787,10.0189033206,8.44709959334,9.64501493359,6.13019755137,6.57768222091,5.48944792464,8.1797483868,8.29943294978,10.5586840472,8.09453166078,5.43296471614,7.78422938085,11.7411877978,15.901547157,19.0434051391
Friuli-Venezia Giulia,15.2047728993,12.2679853895,11.4389388904,9.09696367436,10.0467045294,7.56012186937,8.59421911134,8.34393899728,8.62880968761,9.41268709546,9.47745585586,8.28410961557,11.2786535158,11.5464896748,13.6561109657,14.8425985518,15.6202062183
Liguria,32.594263018,27.2632581888,27.3257885219,30.0464008675,20.1898009466,10.4108016363,11.8407933515,11.4029020451,13.216193732,16.0784759451,15.4295045316,16.6833348486,24.3570293112,18.7192920484,18.3875437954,20.2898069141,26.1141987287
Emilia-Romagna,9.70301354071,7.67215322329,8.49134612324,9.81062101318,7.55402324488,8.49402584345,6.30142932611,5.57569323844,7.16316622857,7.46507220423,7.77974240208,8.50218568719,8.75801289432,10.2118379935,16.5154091422,19.8103755715,20.0943897739
Toscana,13.7542763784,15.761991865,14.233491311,12.6772932547,10.583212291,8.92705081688,9.76502731158,8.66123700505,12.4929375304,11.5213025379,13.9694908285,13.6712773844,10.8474143652,12.6332997627,16.4411567687,23.4811101993,21.0226280387
Umbria,30.5485462263,31.0778730822,28.5509526118,26.6365711985,23.8374666705,21.1740210346,21.5043400917,21.4294839856,17.6048400366,14.069406666,16.1686945024,7.53472222222,8.75405204461,12.1084536937,14.2311138692,18.8743333798,18.6132936382
Marche,14.8353506015,17.0537863919,13.1102654737,12.8921661835,11.4130871113,9.24668057449,9.94027747966,8.7592848136,7.7870282253,10.1872995252,9.65022848005,8.23696302464,7.18312008546,10.5309382053,22.6270177727,16.0469572962,20.738178091
Lazio,35.9633440348,35.8771202246,32.7047992781,33.280293,32.3582804256,28.3100283559,27.4791438484,22.8078242491,31.1838670179,24.7449949245,24.8148703394,25.2552133322,22.655685144,22.831861813,26.2905095248,29.2497242888,32.5646828236
Abruzzo,31.9113300468,32.6189285686,33.9702498835,35.8922521395,34.9127502936,34.7282132627,28.868808624,30.2487945097,25.0802221047,19.1827817508,13.1094998302,19.4190586519,12.1905593936,14.3831891721,19.1961542423,24.7784582045,20.2893807008
Molise,30.0283333096,31.1178535012,29.8218505741,33.3519225577,35.9689071383,30.6039791104,22.0187123726,15.7391024211,24.9226182116,26.8138369727,29.3377853862,23.6207733376,22.0226298294,23.0425794772,25.7292746789,28.9200261539,23.9482891032
Campania,42.8609475274,43.3945252465,41.964142664,41.0250156323,40.9666984053,41.6679932365,36.9203303994,35.5185680152,33.0183645205,33.3474315012,36.0261771033,31.1205415783,30.7463058267,31.4519229718,35.9214010526,43.2133116976,43.3726807377
Puglia,30.6210546972,30.1331096344,33.746115351,34.6268473955,32.1445037303,30.6499669873,24.8661293474,24.4012743687,29.084426057,29.0627357003,32.8190405257,28.7852803835,30.1606109773,27.6178639403,30.0265674057,34.1720898574,35.0258370756
Basilicata,41.303576742,45.6621562604,44.7499353507,43.5454864119,49.2750078208,37.1975786985,41.6080574737,43.775128576,37.2660060388,30.0285782525,27.6595936835,27.7978947368,23.0392256176,27.7564606859,31.8802392181,38.8809940558,35.9131706333
Calabria,33.0094372298,37.4332954024,37.6210442864,40.1931647814,39.6350531571,38.5597105399,31.8351597096,28.406024475,33.7646019915,35.5646670554,41.1296357587,31.3096358871,27.6243694708,32.391552718,27.1261411896,34.5674629631,40.407723558
Sicilia,45.970516783,44.4195316206,46.1452975569,46.8422287031,46.755259792,44.2133072625,40.6579761819,37.2564307548,38.9705849514,37.7545869155,40.6355984681,35.1176776301,32.3593096624,35.0273519694,35.3705207962,38.8129198359,36.3604374134
Sardegna,30.4827868117,32.6229554813,32.2462981088,34.2740363534,34.7763941152,33.1390153729,27.3574698738,27.43135313,30.3532436546,32.2864212563,28.2020726219,26.132980483,25.6243500917,30.025674779,43.2496167488,38.679542575,43.7067156504
Italia,26.1400903397,25.7654240172,25.4445172615,25.4344393466,24.662608264,23.0602336372,20.4113682263,19.434770717,20.5440872595,20.6362300718,21.451786367,19.1028901418,18.2313153687,18.8991290912,23.2522265161,26.7874830281,27.0657448988
