Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,100.0,112.135319677,120.416278709,146.044770329,163.731765984,156.449798262,146.907976412,148.523820608,148.075729361,,,160.02288951,,126.996042831,99.1387337058,92.0323168839,
Valle d'Aosta/Vallée d'Aoste,100.0,79.3997271487,59.8908594816,166.166439291,81.036834925,40.1091405184,148.97680764,101.637107776,142.428376535,,,69.5770804911,,89.2223738063,50.068212824,128.512960437,
Lombardia,100.0,95.8240433368,103.097491288,113.67652645,99.2312011759,99.6465672431,100.552445127,108.308972898,107.247023072,,,141.94288923,,126.286148409,105.745759633,87.4044162579,
Trentino-Alto Adige,100.0,124.081974707,98.3391741582,93.0367210117,84.3592869115,82.2108791711,45.9926862715,83.7574280055,95.5431967088,,,68.1319518513,,75.4075879933,58.3650769465,51.9427091269,
Veneto,100.0,112.732077363,118.308768253,139.845547532,174.563181994,153.839670137,118.586691573,128.200104791,140.638312413,,,124.097318723,,96.3710504135,94.42330911,69.0274961842,
Friuli-Venezia Giulia,100.0,127.996051333,131.345837447,130.595590655,147.436656795,135.518262586,94.6890424482,101.428101349,95.3734781178,,,77.6044751563,,49.4768015795,55.1102336295,39.9901283317,
Liguria,100.0,102.424470234,108.18963492,126.236902692,145.369543767,114.805243622,116.247709439,96.231734248,133.806324296,,,231.37245689,,184.330216605,214.382370906,103.096367993,
Emilia-Romagna,100.0,102.292465803,114.632336976,128.341897662,120.758847796,146.464500253,136.294058044,127.529492654,121.965694434,,,140.640153434,,112.540710719,95.632192227,73.8085329666,
Toscana,100.0,95.4899867938,104.037845759,123.356911555,122.752681947,105.772744541,111.071512564,116.808075692,115.020713859,,,126.075944787,,116.755612642,112.791938781,70.521193263,
Umbria,100.0,156.478405316,126.356589147,164.119601329,166.020671835,259.265411591,264.673311185,162.366186785,223.38501292,,,304.282022887,,342.451088963,198.043558509,147.083794758,
Marche,100.0,152.487994278,121.467252478,220.047001124,193.184837029,217.33932768,191.641974047,161.132114029,184.847246347,,,233.237968734,,237.784816593,164.687851231,147.619290896,
Lazio,100.0,90.9622935032,89.6244166235,119.986665679,97.0175568561,145.515964145,124.911474924,119.757019038,112.402400178,,,153.257278317,,135.467812431,125.284835914,125.875250019,
Abruzzo,100.0,119.611583145,114.201491243,147.971215537,155.973643142,171.683717704,127.518640541,123.383041443,170.097104214,,,193.601525923,,230.275706607,139.899427779,161.470435235,
Molise,100.0,68.724137931,106.379310345,157.034482759,56.7586206897,110.689655172,118.793103448,73.3103448276,108.655172414,,,250.827586207,,401.413793103,235.482758621,287.396551724,
Campania,100.0,95.5405288253,97.8951018639,106.830515821,80.8651928912,94.9397485912,98.9163415691,95.9956653663,105.037711313,,,132.265279584,,132.995231903,133.970524491,96.1361074989,
Puglia,100.0,98.5769652365,106.266637958,111.355895709,121.662621359,132.145513624,129.149702474,104.79075321,117.291731914,,,119.28045725,,131.995772001,98.2569292202,115.141031162,
Basilicata,100.0,90.5915349312,102.677205507,57.3686894442,84.3702192759,170.155532891,138.437021928,88.4242733299,74.4773074962,,,99.8342682305,,104.487506374,225.509943906,201.95690974,
Calabria,100.0,91.5072265376,91.2963198778,82.7852413091,87.9886667516,74.3553419076,90.5052209347,84.4287215077,98.2363427989,,,111.222621928,,121.251432574,76.0831847702,76.5125588947,
Sicilia,100.0,97.6847531623,89.6130429957,91.0798044866,87.3742585003,74.2486341606,88.005689456,78.4203537822,96.7881705357,,,48.2921354781,,54.43255487,37.889557135,41.5866758202,
Sardegna,100.0,83.4200501719,104.967636037,146.257239308,136.496949426,109.727771068,99.521508873,97.5301186162,112.683886153,,,42.1660627458,,25.7270277804,26.4254080337,26.4161169439,
Italia,100.0,98.4514070738,100.72038863,111.888838696,108.457883072,107.96644833,107.381843913,101.728491569,111.416373159,,,111.684853575,,107.114422242,89.0818552059,78.7192875343,
