Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,,,,,,,,,,72.5490196078,74.6268656716,75.5177861584,78.252938063,76.4448130061,74.7893379192,78.0913910629,
Valle d'Aosta/Vallée d'Aoste,,,,,,,,,,66.6666666667,80.0,73.5008252338,65.5583664619,63.7011945088,70.3931203931,72.5524475524,
Lombardia,,,,,,,,,,73.1343283582,74.0899357602,77.43435928,77.9997013282,75.2652755978,74.0830244231,75.6105080043,
Trentino-Alto Adige,,,,,,,,,,72.4042984435,74.3664344231,75.5432802041,75.0887414152,73.6666794288,73.6881103469,75.7177706887,
Veneto,,,,,,,,,,76.8907563025,77.0212765957,81.5923836511,82.9330261123,79.8116551989,78.7168337613,79.3594153052,
Friuli-Venezia Giulia,,,,,,,,,,80.7692307692,78.8461538462,75.9588159588,81.3035746398,81.0064449189,80.2481477126,80.9885191672,
Liguria,,,,,,,,,,79.6875,76.5625,78.2318913481,78.3650244657,83.6202523619,84.740618531,78.6852589641,
Emilia-Romagna,,,,,,,,,,75.956284153,77.3480662983,78.8496022295,79.0799261704,79.4913246155,81.4373498354,79.505470929,
Toscana,,,,,,,,,,73.9644970414,78.313253012,78.17402664,77.6954915827,78.1768040825,77.0442455227,75.0166474968,
Umbria,,,,,,,,,,84.4444444444,84.0909090909,81.848283474,83.0650984046,82.1207162776,87.5534420083,81.8181818182,
Marche,,,,,,,,,,80.0,77.2151898734,78.4050421249,80.6103941857,83.8674018779,80.7062899098,81.4584949573,
Lazio,,,,,,,,,,79.298245614,80.2816901408,82.2444686149,82.9780445349,82.671441245,83.0198648256,80.2950992447,
Abruzzo,,,,,,,,,,80.2631578947,78.6666666667,79.2182375251,80.688579753,80.3542230588,80.3833655547,81.0123081178,
Molise,,,,,,,,,,80.0,84.2105263158,79.0523822058,80.1813402007,80.3495820215,78.6649142982,85.9988931931,
Campania,,,,,,,,,,67.2371638142,66.9135802469,67.180597901,66.8248582938,71.1089874123,72.1316203461,72.9703464397,
Puglia,,,,,,,,,,66.0649819495,67.1586715867,68.6677194528,69.7830008241,72.1147719402,70.8562822202,71.4632174616,
Basilicata,,,,,,,,,,76.9230769231,76.3157894737,82.204561161,81.8018752548,83.9623938203,84.6433931847,78.9132882883,
Calabria,,,,,,,,,,75.5395683453,78.2608695652,76.8484497591,74.2573585929,76.3192787059,78.3276061306,80.9083263246,
Sicilia,,,,,,,,,,64.2642642643,65.1515151515,67.93023263,69.5632723291,69.1278254706,68.5863281876,68.9356629756,
Sardegna,,,,,,,,,,59.8130841121,56.7307692308,62.1575529225,68.5691938787,68.8738714957,70.2797202797,66.4139749506,
Italia,,,,,,,,,,72.3329364906,73.0427967469,74.7976493083,75.717098012,75.9668084842,75.8431672945,75.9019848486,
