Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,98.6133904033,94.2275271084,92.7810223594,91.683282903,90.1856823395,87.8635113064,86.7119554519,86.5059160941,83.8323210469,81.4240204249,79.835775818,79.9671735616,77.7181780379,,,,
Valle d'Aosta/Vallée d'Aoste,109.22815287,102.27880671,98.132251186,99.262137433,100.62905585,103.11111463,105.35064343,101.91483526,106.86986808,108.23134013,105.94272083,105.62851721,102.88203212,,,,
Lombardia,101.384033544,98.8392789895,95.6705573089,94.4748190214,92.9488809746,92.1974398595,90.149607533,86.3153528001,86.8391041442,87.5863459862,87.7933069408,89.2995381515,89.1280376878,,,,
Trentino-Alto Adige,121.120847854,117.339345422,115.210576398,111.259427376,109.964979143,108.666824849,106.932743621,98.033092613,97.8498037318,94.1708566351,96.6322353545,97.1555382774,96.9505359413,,,,
Veneto,111.11968334,108.470865619,107.471670859,105.13890626,102.011317251,100.921519599,98.1941074994,94.8163241532,94.774435305,94.1148315626,94.9177504331,93.8289768366,93.5066574386,,,,
Friuli-Venezia Giulia,89.2883292329,87.5822269882,87.7209074179,86.5068147355,85.4608363943,86.18216814,83.3203111277,82.8621320546,78.7680837255,79.2641154456,80.5759092979,77.5323257485,76.71915404,,,,
Liguria,101.888664568,98.5040564614,96.8159739202,95.7475838713,97.0856884309,96.3125594757,95.8014415523,94.3459285966,99.3729895201,95.9826006263,95.2808470364,95.9000565026,93.6207601126,,,,
Emilia-Romagna,106.863177963,104.569784178,101.038647068,99.9216713098,98.5487675425,98.1355478407,96.101397379,93.3231571554,92.7724152728,90.1054386983,88.0314003259,88.261981783,84.1001657044,,,,
Toscana,105.404609092,101.75581343,98.8282902531,95.6855596026,95.2203013989,93.8246181841,94.5508776502,92.9143067057,91.0950767126,91.3203750413,90.553488186,88.7588319317,90.6000129043,,,,
Umbria,93.8763533982,93.7344253167,91.2894650448,89.2284757837,86.5994055362,82.5738981743,82.7438164452,83.3356037656,85.2757328641,82.2555671367,80.5464348617,78.200193139,74.711911294,,,,
Marche,100.613769528,99.1941611474,97.15757786,95.7726052167,93.7403395852,91.2935372968,91.9386280101,93.375312799,90.0935236018,89.6986096668,89.647107609,92.4679210434,91.3430677683,,,,
Lazio,102.139280471,99.307420976,97.4871834182,92.773561336,92.563667263,92.9055725414,91.1512756527,91.6255441601,90.3632512761,88.5491576171,88.7657886243,88.2022905879,86.4219307307,,,,
Abruzzo,98.793481612,95.382675356,92.2561177023,90.8709059423,95.830638117,91.9979547291,88.0310569213,85.315006212,86.0925950685,86.1940062199,81.8419822326,83.7382978559,86.196281983,,,,
Molise,95.0032166859,83.9739587656,84.6511672999,88.5400394511,83.3951023943,79.3713018279,77.4168616082,77.2439668723,76.4648182484,77.5260020998,77.31533965,76.500055081,74.8232692335,,,,
Campania,80.3815816981,79.4932881089,80.3174349701,76.043491293,75.0304742351,75.8176179206,74.1171621534,71.0434568039,69.5586396681,68.5948757974,68.2801455353,69.9760264483,71.6210578785,,,,
Puglia,84.186792995,82.3044055324,83.0448565517,83.8401509612,82.0445847084,79.4727531522,79.0173040341,77.4753417084,77.1987115309,78.5467726567,78.9919711667,77.362231253,74.8765412539,,,,
Basilicata,85.8156849694,83.6906242608,79.9801822158,77.2097180697,77.1522775237,72.2088762145,77.3867597408,72.5932477095,68.9926584453,67.3111047619,68.5160590819,65.9194165674,65.9044576146,,,,
Calabria,92.2194566992,89.6737701976,87.0690376976,85.9496224397,87.6354206918,85.1214895078,82.3269749536,79.8119848276,81.1635816967,79.0987533745,78.1206211937,76.9827092538,78.5462609899,,,,
Sicilia,95.1863905512,91.2582254306,89.3630074404,83.7065443611,85.0276055439,83.8553016947,82.0362348548,81.7816652394,79.578427715,80.3645726959,80.3991316624,81.0467152666,82.1775119113,,,,
Sardegna,93.4666294868,87.6660531065,85.9747220118,80.7846365349,80.6118231913,83.3258457852,80.4072909449,78.8354550262,78.4679042118,77.4962387998,76.2061762698,75.7306055005,73.4301963238,,,,
Italia,99.3492686774,96.5512500586,94.6688037185,92.325871315,91.4335778569,90.5556734848,88.9889873217,86.9264862605,86.2724860498,85.5427839201,85.2824749506,85.4260925998,84.6043321531,,,,
