Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,23.5190903335,20.7607984223,20.8347306743,20.5822402432,19.9679570681,22.3547870542,21.0769591305,20.0895716449,19.8601689045,20.2297467302,20.220614001,22.1755708074,23.3929458142,22.2077667462,18.5674388379,,
Valle d'Aosta/Vallée d'Aoste,9.55851206142,6.10401539461,6.56459806572,6.73395814102,7.44181443615,10.860883696,10.19360514,7.73201470555,11.0132591759,10.9583700932,7.3444185847,9.8799028265,12.8045230334,9.52376185696,5.76039762484,,
Lombardia,32.4678033575,29.0924175265,31.0212192656,32.3811598961,33.8414024338,38.9237015077,38.0181199569,35.646205637,35.1607635245,36.5539778726,37.3795000707,38.7053326753,38.7036692776,37.0469532006,31.2044694644,,
Trentino-Alto Adige,14.7397164855,12.8091641265,13.5996066362,14.1330682889,15.340424421,16.3857667024,16.5159689956,17.0466986731,16.6780446359,16.3588570628,16.5258682686,17.2358853199,18.0848949266,18.0606639742,15.3384184983,,
Veneto,22.2374732723,20.1069181552,20.8453831271,22.0139480476,22.1065071088,25.3164187283,25.088422121,25.4226684058,23.6519561644,24.0674213937,24.3927293468,26.5906449522,27.4299671327,26.789403023,21.6378652417,,
Friuli-Venezia Giulia,14.8288940054,12.622426145,13.586340265,14.6370868426,14.5324577591,17.5912323934,16.9911262828,15.3289821943,14.7684123512,15.9238393717,16.091513168,16.562222779,18.742489184,20.9032398248,15.0757023843,,
Liguria,13.7390994389,12.3582762506,13.2772619603,12.7238489936,12.4305959666,17.9458375319,18.3629495303,18.2747383452,19.6439177835,18.9618045899,21.2067252808,22.587994309,22.5385697105,24.7609105153,18.6021678317,,
Emilia-Romagna,14.6329329341,13.3612029001,14.3547198081,15.2308169115,14.9965348594,16.3292428009,16.2098073306,16.9326251804,16.6501779788,16.7762936591,18.1047465951,19.4096430014,21.1978570731,20.7997515871,16.3693343375,,
Toscana,17.4900325879,16.4073714655,17.9582355175,17.2415414,17.0413350205,20.7002298183,20.329466339,18.1730519175,16.7347846608,16.6030972891,17.5503094011,18.5280575553,19.085750303,18.7951645656,15.3881698321,,
Umbria,8.81114284009,8.00535857979,8.87869814814,9.03740416849,8.7352268948,10.3463025064,9.54489046586,10.1685668947,10.4226812516,11.0723854897,11.9022998497,13.5455757305,13.3925884537,11.6660447006,8.52660939355,,
Marche,9.37244757979,7.98328701264,9.17055383621,9.03566420991,9.10487492556,11.4606700582,11.8660937558,11.3411478336,11.2275530869,11.0788946063,13.0865479184,16.5362729264,17.9915285423,15.989626235,13.069858098,,
Lazio,12.526087098,11.1071252085,12.4384447153,13.2576717946,14.6736784173,17.4243494498,17.1097280618,16.4298742486,15.6371249808,14.521400101,15.9995067134,16.6195016174,16.6156761789,15.9542287572,15.128997862,,
Abruzzo,13.6454636146,12.60775238,13.1298488421,13.5974793102,15.5622289487,17.4536667049,16.3226643589,15.994516155,15.1417796795,14.8393588828,14.0641353963,14.7712649871,14.9486661124,14.1011743072,10.3362479974,,
Molise,5.63613058462,5.24714007914,6.00623678242,5.84252155027,6.70376765425,6.88861721028,9.05193363316,8.94928748726,5.64087640274,5.56439332421,6.25504079621,6.60861239278,6.75672771666,7.08638090931,6.16922899564,,
Campania,8.53881209441,7.89598662688,8.34933592604,9.05221240959,8.86210108502,10.0109108326,9.92225060216,9.19226784988,9.16207375279,9.10404205508,9.04865275661,10.1550765075,10.2531627251,10.4479993676,8.91994841881,,
Puglia,7.30924834989,6.43924508438,7.74132552965,7.42996739155,7.44765283889,8.66033889057,8.83610799187,8.25730062718,7.93640999118,9.76493004878,10.7395575482,11.175583103,12.2280873605,13.4075206745,10.5480607642,,
Basilicata,3.60110044178,3.10066496408,3.30705526323,3.25221902687,3.71609403882,4.88269043355,5.35525787926,4.29076589448,4.78857717534,5.72323106986,6.89920094384,9.71904714824,9.64858875974,8.6313855079,7.96846476704,,
Calabria,1.57251379025,1.57097741076,1.84060631195,1.63687248345,1.51643289313,1.72021681738,1.8448949381,1.71197876282,1.85375826656,1.75482884271,1.93307041676,1.83376339565,2.19854868147,1.74669635461,1.62420583118,,
Sicilia,11.6807447305,11.8568297348,13.2776988667,10.7638707399,12.5591606143,20.740170419,18.7338020717,16.2874117686,16.4176532984,17.9547961965,23.4231090611,18.8673776039,19.6891513558,20.8679119561,13.0787833237,,
Sardegna,12.7688367374,12.8986544571,12.9509530033,10.0788499205,10.5436610083,17.281350634,13.8221221047,13.9432072457,13.896520508,15.015058797,19.9804018051,22.2060738985,22.7549201046,28.2636159431,16.8010243703,,
Italia,18.2991052947,16.5305799911,17.6090626732,17.9221935278,18.3637867726,21.701650625,21.1220217135,20.1659563339,19.695004473,20.5266440829,21.6366937982,23.7289692446,24.1459885611,24.3677251257,19.5683034878,,
