Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,,,,,,,,26.967966228,29.1780481748,,32.9151291513,32.5649828347,38.1360078278,38.8283708545,43.9769175283,49.1488851594,51.6622817508
Valle d'Aosta/Vallée d'Aoste,,,,,,,,25.6637168142,30.9734513274,,32.1739130435,33.6206896552,38.4615384615,42.3728813559,46.218487395,50.4201680672,53.3333333333
Lombardia,,,,,,,,30.4104477612,33.4421641791,,35.1314441789,39.8578519856,41.5817183824,44.4185530404,48.0492361798,53.2316076294,56.3053336212
Trentino-Alto Adige,,,,,,,,31.6877152698,33.9839265212,,37.4860956618,40.1098901099,41.6304347826,46.5665236052,50.4772004242,53.4663865546,57.3361082206
Veneto,,,,,,,,28.8904560414,31.0766337565,,34.1018032413,36.1620276081,38.3958660975,41.0746003552,43.8708260105,48.2088248143,53.9965247611
Friuli-Venezia Giulia,,,,,,,,28.9403383793,30.0089047195,,33.6870026525,34.30335097,37.6429199648,42.8446771379,48.4402079723,50.2595155709,53.0224525043
Liguria,,,,,,,,25.3098499674,29.1585127202,,28.7135278515,32.5459317585,34.099868594,36.6382140512,42.1465968586,45.6151832461,49.3132766514
Emilia-Romagna,,,,,,,,29.8393468528,32.8153805636,,33.1110541164,36.9532044761,39.449772842,44.2365269461,46.407480315,49.7803806735,52.1927710843
Toscana,,,,,,,,28.801431127,29.5468097794,,32.5965222517,35.8252711815,36.883571637,39.2372146778,45.2981651376,49.4298745724,52.3958037993
Umbria,,,,,,,,22.4874371859,26.8844221106,,32.6328800989,33.4149326805,33.2116788321,38.5817307692,43.5714285714,44.9172576832,49.0610328638
Marche,,,,,,,,28.5817134629,31.3174946004,,33.006993007,34.2361111111,35.0622406639,37.3032169747,44.3389830508,45.951417004,48.2664853841
Lazio,,,,,,,,26.1909547739,30.7135678392,,35.5853114222,35.4968756299,36.7303195635,43.3134500673,44.2245480495,50.5558696062,53.4080298786
Abruzzo,,,,,,,,23.8213399504,28.4532671629,,30.693877551,29.4642857143,33.1715210356,35.548438751,41.7791898332,45.2098178939,48.420221169
Molise,,,,,,,,21.4285714286,25.6493506494,,25.9016393443,27.3026315789,30.0330033003,33.8815789474,38.1578947368,40.4605263158,46.204620462
Campania,,,,,,,,17.3986170809,24.9486077369,,21.5135738193,22.8327454984,27.4025974026,28.5740672331,35.2149049991,38.4219238551,41.9112252384
Puglia,,,,,,,,19.3125163999,22.8024140645,,21.7494089835,25.1900393185,24.3257397224,27.8996865204,32.6807622031,39.4736842105,38.8773388773
Basilicata,,,,,,,,23.6331569665,26.9841269841,,27.7580071174,29.2857142857,29.7491039427,32.7956989247,35.4838709677,38.7791741472,40.6474820144
Calabria,,,,,,,,18.7205034085,21.8143681175,,24.218335983,24.2697822623,27.4906766116,30.1536830949,32.874536792,40.3174603175,39.883782356
Sicilia,,,,,,,,17.6607938866,19.2740394821,,20.6660973527,23.4278405457,24.4245524297,28.8841657811,34.8748408994,39.7501058873,39.847876611
Sardegna,,,,,,,,25.0322580645,25.2903225806,,29.0384615385,32.1200510856,36.4331210191,38.8324873096,43.7420986094,48.8313329122,47.4148802018
Italia,,,,,,,,25.176127771,28.3833130464,,30.0763414545,32.3559334351,34.5765037187,37.8236579164,42.1453213358,46.7707116821,49.2879398666
