Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,39.6878170717,40.0497698153,37.560288346,41.4568450432,42.5740488868,35.4419728695,33.1424273151,33.6568568462,38.5420183646,44.5902838226,42.6963892456,45.2431751581,43.4358360826,43.140153051,42.4371260216,47.5033767529,51.0585553474
Valle d'Aosta/Vallée d'Aoste,13.0338067149,9.00113265808,12.1647838772,10.1673673251,10.5327353646,13.5105691246,8.1372915849,26.7923058822,18.2750553764,13.1143718944,24.4453518443,28.7042417199,34.1950503977,32.52643208,36.1964955355,34.0901980489,40.7331581521
Lombardia,34.6637278646,37.9394653752,39.9607760713,35.7486245249,38.1111714917,35.9796910569,37.2267000123,31.133251489,37.2462228545,34.4179100172,33.533286562,35.7421232752,34.3983563644,34.6312486958,33.6056347522,41.9255923415,45.6851122993
Trentino-Alto Adige,13.2374038691,13.3415694147,18.2717195771,19.9238826422,18.9407448515,24.2513074273,17.2390522714,11.8900517918,17.1148785572,17.8813753926,18.7094083661,18.9784946237,23.259648146,21.4899423835,23.0989413767,23.7682556854,25.2464275528
Veneto,25.3814052655,22.062663623,19.9321321542,20.7358057862,19.4127752,15.8136110809,13.4722858946,14.1990538836,21.801773252,28.3471902877,34.4846084285,34.7792181372,34.565602078,31.2408670585,26.61895613,37.5612245592,44.4229046893
Friuli-Venezia Giulia,27.6345121862,30.938684236,28.7638628318,29.2921153221,27.412830727,28.6912059342,24.3446512145,20.8362529028,25.4619040319,34.7470843837,31.0795639149,38.1651182432,33.5124203632,33.8246344452,28.6748026275,38.1583255017,46.3087810991
Liguria,36.2734252239,37.6371370132,35.040398382,31.0326509956,35.5522964851,30.5490578831,26.6245137958,27.5186169458,40.1220739241,43.3872574191,37.5886164116,42.0266666667,31.6351836318,35.1934998316,40.0444296838,41.4722915837,37.4638237956
Emilia-Romagna,26.6999986979,25.4739101889,25.9773888412,26.267342408,29.7831398924,20.326402062,26.1119722846,22.1837712401,28.5856020894,27.0928802005,28.7945525058,28.6923295073,28.4739563729,25.9815057176,26.4636746742,34.8711264446,41.384611673
Toscana,62.4316155204,56.8088099449,58.1778513162,56.2888895008,56.6443801992,60.2228982126,53.831876605,55.8479227545,38.1096177615,35.4312491458,32.8895255776,40.0518710634,38.5889758285,33.8512281635,34.2912204455,47.320913007,45.8693642285
Umbria,42.6648880089,47.1137789752,47.8546786612,44.0160751362,50.2393129471,44.0387315629,41.3489198404,47.140156125,40.9898865594,40.2506892492,42.6431148208,40.4648234615,40.4709712982,36.3568325147,34.9388616591,43.0091299286,41.6947881059
Marche,53.7978648924,43.2566767082,44.1703845538,43.3174271846,48.6536990074,50.8743673226,44.9193287963,45.9288297654,34.0767224617,29.8740072387,36.6673829309,34.193422592,35.6508287507,34.5227398077,31.2453006468,42.9503705235,42.8197260334
Lazio,33.2818638281,39.0548734699,40.5084334185,41.7370645293,45.4931368277,46.7307820538,46.849950967,39.4028127376,48.310370905,50.2414299016,51.1111547385,52.350271918,51.0322503811,44.1701294884,50.195933134,48.8745838151,53.0102303076
Abruzzo,62.6715655352,61.2320981738,63.2006537863,61.3327543907,64.9503118057,65.628879293,59.8473219696,61.3003369497,50.6471056496,43.1900555212,45.3391896453,46.2964557325,46.5959538251,44.2096616361,42.3266858373,50.7045279314,51.0648376842
Molise,56.131736903,55.4802243999,53.2346193453,54.1757479056,60.8481837837,59.3464482918,55.9454158612,48.7441098317,52.1074562854,51.7091618798,51.8092791245,55.500618047,49.1637482773,51.6085825493,50.0050269653,48.3061496682,54.3175187375
Campania,47.7449201187,47.5132675005,49.8826284571,53.5718420069,53.4061634953,52.4670147406,54.0061882133,49.1074343476,53.4621832651,52.3588230807,57.7352581505,59.0744938638,54.0934644086,57.0470985795,57.1907750512,59.2535702733,62.7231961351
Puglia,48.6098087113,52.237486358,56.046835261,55.5806812601,55.8659393562,52.5652283891,53.2475608321,55.708881391,57.2559294883,57.4638450159,53.5910668012,57.3554357045,52.9099323822,50.7609150616,48.1838587907,51.3991959673,55.3105387537
Basilicata,49.3545034248,49.2109655534,52.2252160754,56.4009672449,54.5324260571,58.1517337792,62.7612358158,59.1154165075,60.3278439532,55.1770235133,53.705563105,57.4301001036,54.4384298443,54.6370946926,54.865403671,57.1149065093,60.655418788
Calabria,53.5604365346,53.816745828,60.1266068576,62.5083844814,62.1070656956,62.8568395754,61.5616332919,56.1534305503,58.1379774536,55.8745202333,58.6640547284,56.6335238221,55.464422595,50.6801693196,51.7609486517,54.5137742552,58.4678350542
Sicilia,52.2583956146,57.8932761449,58.8121102504,60.4576448744,60.7462213872,62.3680114198,62.6415462803,61.8716991356,61.0010902721,58.1991899609,58.0297138917,59.9646988101,60.7065858301,58.0907249854,59.957871391,57.8945898411,58.5538770087
Sardegna,52.6605123094,56.35988343,55.0348395018,60.8268101224,58.8700181664,61.22876486,58.3571325179,52.5497241236,55.15200898,49.9839323189,53.5645944822,52.4337963968,46.402593494,48.7554307443,44.6690460622,45.7621483909,52.8488777181
Italia,43.8773852281,45.7260492283,47.1241140712,48.6837228073,50.1418154942,49.6530716808,49.4399737549,46.8685259021,49.2704230763,47.6853483944,48.2614692954,49.6768873139,47.4052588667,45.7369386149,44.4499775487,48.45114836,51.9206045993
