Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,67.0604641123,67.6337495935,66.7778274517,66.8185365751,68.2387212624,69.5763567209,69.6488578657,69.9903428983,72.3734464447,72.9529044146,73.4926281094,73.512506837,73.4105760588,73.3307228468,72.2815840062,71.2790657569,71.466207571
Valle d'Aosta/Vallée d'Aoste,69.7288059887,70.2419840471,70.7836684371,69.1977494571,70.2666607883,71.3511467763,72.9401061516,74.6610225623,73.8495066947,75.3646920692,74.3462867022,75.2185335562,76.2360955306,75.6316355749,74.5314741657,74.2658457115,73.113515895
Lombardia,70.9601937948,70.9270225693,70.7286214599,71.486668456,72.2144817409,72.7753074862,73.5973083714,74.1391733785,75.6120522521,75.644850132,75.6104940473,76.3705164826,76.6664621959,76.6481111537,75.2059527991,74.1709782442,74.0660232048
Trentino-Alto Adige,75.1702573775,76.0503416455,75.3586208419,75.6700790663,76.3766996213,77.3366841496,77.4458234979,77.727480104,77.5704157513,77.0567533426,77.0364715944,77.7396209098,77.8043285371,77.2595520205,76.8157345167,76.7758116133,76.4836441006
Veneto,72.8063454823,72.5873729754,72.5487042372,73.1951775269,73.682346037,74.7457951745,74.6124518587,74.7605629336,76.8772072912,75.9623854326,75.7681889411,76.9263529643,77.235114144,77.0145597018,75.119404504,75.2946607197,74.8285491083
Friuli-Venezia Giulia,74.4447081587,74.8927998173,75.1633819747,75.4072577875,75.6510027934,76.0675740983,77.741720358,77.3682650135,74.5533027815,72.3714113282,72.0000221232,74.5440246816,75.1729791918,74.8314438122,72.6083088857,71.4591965877,71.7212229638
Liguria,62.4417269855,63.8034301098,63.770895007,64.0731034789,64.3493348953,65.1396452213,66.9579774978,67.1065985957,70.0198305045,70.4866691655,71.7527408996,72.2277800861,72.5944673332,73.0296591595,72.1667021728,71.1311023675,71.2822291804
Emilia-Romagna,72.1357994245,72.2411420556,72.6942711128,72.8601326095,73.8469335258,74.5268361231,74.9928487726,75.5778169521,77.3173808994,76.2174373813,76.5785581891,77.1232279843,78.4041467085,78.1886720509,75.4737184771,74.8900107918,74.992892585
Toscana,71.6648063774,71.6109107974,71.5750529558,71.7807348281,72.2847524695,73.2105318154,74.4876297672,74.3410018444,74.402904627,73.5884591779,73.4592592454,74.618744988,74.0218949627,74.6017031355,74.2717819647,73.2807961678,72.9277003307
Umbria,67.6371331408,66.64557049,66.1874822486,66.2079489388,68.718367561,69.5931398024,69.5038844514,68.2095108182,69.8889715366,71.1349017527,72.113860014,72.2915156695,73.7418544328,74.0505696586,72.6834108017,72.6987976908,71.573553154
Marche,71.4980336841,72.1179772677,71.1036173173,71.4202276821,72.5278306923,73.6498475395,72.8475515111,73.1324177117,73.8739038113,73.318336567,73.5679677256,74.8216622175,74.6681237552,73.3688079258,72.0326335142,72.361059459,70.8829905408
Lazio,63.9069349921,63.8095431686,64.0512107759,64.1465207457,64.4206606463,64.8093818651,65.1833345299,67.4415518466,69.8520392652,70.3840050121,69.234907545,71.2307319258,71.719711202,71.7711355968,70.6696475097,69.6478525027,68.9978674784
Abruzzo,64.6649007714,65.292452422,64.1149331328,63.3339006631,63.3731031993,65.4940337154,67.4921684069,66.4730461888,68.8430055412,68.656039329,69.8184006514,70.430645616,71.4359956375,71.217664863,68.2657277017,66.9952534546,68.4748302449
Molise,65.2369554434,64.4784680484,65.323819806,65.3484703303,66.3347325136,67.5078648729,68.4209363033,68.7345808656,66.6432551994,65.2826473878,65.2132550602,66.3899298549,66.5119208898,66.6987445712,63.8496246687,62.9399480515,61.7487953981
Campania,59.1987019223,58.8835748476,58.9738062224,60.2073948821,59.892275593,59.9833185407,60.9977328198,63.1687203592,62.0420142433,61.257522546,60.5681422217,60.1382101607,59.879747222,57.9929044316,55.6632568403,54.4229745803,53.7400736186
Puglia,58.2616359006,58.449703455,57.3035350254,57.7352418955,59.2789380966,60.3971308569,60.2998764493,60.7199023357,61.987451443,61.664975443,62.4965883174,63.3250725946,63.7492060459,63.6136494246,61.0155008503,59.6485154484,59.7482130942
Basilicata,61.0151965655,60.653960578,61.2032866697,61.576525012,60.9599086471,64.386562776,64.3025062204,64.6668166785,64.6863725914,63.73295119,63.8633823466,66.166048185,64.903195636,64.2028459493,61.2932874892,59.0805645053,60.3662636587
Calabria,59.7152305722,58.3625639561,58.6410336893,59.5373031935,58.8375186319,59.5628731311,60.7332111741,61.9983990254,60.4106147315,60.3423695314,58.4285192896,59.4964049438,58.9478988859,57.593915232,56.2455538085,54.3377115386,53.8285434482
Sicilia,58.310656568,58.0954019825,58.3971459939,58.9094618291,58.4557988138,59.1247768598,60.049408042,60.3235534222,60.1088612377,60.0011760661,60.4818121557,61.055787769,60.6533799998,59.5805448291,58.4700161817,57.1150149583,56.4200504557
Sardegna,64.4722939492,63.2536728768,63.7320155802,63.4428782844,63.622256317,64.7375816616,65.7425830951,66.1002712925,65.7256874135,64.5375025783,65.7069534213,66.2151269847,66.4437930875,64.4090081374,61.4087903484,60.1655934204,61.3729735346
Italia,66.219781773,66.178096043,66.0393094636,66.4681855335,66.9718123859,67.7703291253,68.4051622309,69.0671588489,69.9899472866,69.7005224216,69.7195404418,70.5096872376,70.6965372673,70.2704444328,68.6299006212,67.6848415467,67.4619982495
