Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,36.131013306,36.1767728674,34.3766033864,37.1017471737,34.9819680577,37.4419804023,39.2299687825,31.2174817898,33.4712881531,,30.1327885598,35.4887983707,35.8413828165,32.913940614,38.1190595298,35.8283433134,
Valle d'Aosta/Vallée d'Aoste,32.0754716981,32.0754716981,28.3018867925,32.0754716981,30.1886792453,28.3018867925,22.641509434,27.7777777778,22.2222222222,,24.0740740741,27.2727272727,30.9090909091,30.3571428571,28.5714285714,32.1428571429,
Lombardia,34.8236462991,39.5895153314,39.0832922622,37.0971709717,34.4886922321,35.0808427242,35.6002946231,29.4247246022,33.0744964814,,34.3600764088,36.2408153591,34.8338439783,32.1796071094,34.0445269017,36.2255466053,
Trentino-Alto Adige,36.7346938776,39.0428211587,41.1027568922,34.6633416459,34.6633416459,34.9875930521,32.9207920792,36.3636363636,29.9270072993,,33.3333333333,39.0995260664,34.9765258216,37.7314814815,39.5881006865,38.0090497738,
Veneto,32.040302267,37.8582202112,39.0781563126,34.3,36.8447329006,35.5047240179,33.6313959265,32.6086956522,36.9990224829,,35.9246740705,32.0076665069,34.8881485007,36.2052730697,33.4575955266,35.6348470806,
Friuli-Venezia Giulia,32.2463768116,29.0381125227,31.0344827586,33.8181818182,30.4744525547,35.401459854,32.967032967,29.4871794872,33.3941605839,,33.2727272727,28.4936479129,35.1449275362,32.7927927928,32.6164874552,35.9570661896,
Liguria,43.2020330368,43.2950191571,44.087403599,44.1860465116,41.7425227568,45.1697127937,42.7041499331,44.5637583893,41.610738255,,35.8189081225,39.6301188904,39.2052980132,41.8543046358,42.8571428571,43.1216931217,
Emilia-Romagna,32.7643171806,31.4081408141,33.7719298246,30.2083333333,32.2386425835,34.3137254902,35.3585112206,32.5340599455,31.3344138304,,32.4827219564,29.5670538543,32.8436516264,33.696780893,35.7252690928,31.3167259786,
Toscana,35.9654534238,38.4993849938,38.9674247081,34.6650276583,33.2718327183,33.824432167,32.5293753865,36.9135802469,31.5144083384,,33.7772397094,34.9397590361,31.9327731092,34.5422116528,38.0165289256,34.7417840376,
Umbria,23.4666666667,19.9468085106,25.9259259259,26.3852242744,29.5514511873,27.5590551181,26.525198939,23.4828496042,22.0779220779,,25.2551020408,29.8734177215,21.608040201,28.7841191067,26.2899262899,21.9512195122,
Marche,24.1486068111,23.3944954128,23.0534351145,19.0548780488,24.3161094225,24.3570347958,22.7067669173,22.1556886228,24.5562130178,,27.0467836257,23.8026124819,23.8439306358,18.7410586552,29.6033994334,23.5211267606,
Lazio,23.0636088273,23.4381732012,26.1722080136,31.733220051,26.6129032258,34.1938214135,30.8556611927,26.6666666667,24.9146757679,,35.8640939597,31.6271327507,31.1693548387,34.9781138082,33.1626624655,31.9281811085,
Abruzzo,17.3214285714,18.9624329159,19.3262411348,17.9894179894,18.8049209139,17.7192982456,22.2222222222,18.0385288967,18.4027777778,,22.905982906,17.8571428571,20.1353637902,15.3846153846,19.7346600332,19.5041322314,
Molise,22.0689655172,20.8333333333,27.5862068966,19.8630136986,26.8965517241,25.5172413793,21.6783216783,22.9166666667,21.5277777778,,18.6206896552,25.5172413793,23.4482758621,24.8275862069,25.3424657534,23.9726027397,
Campania,26.4190317195,29.8879202989,28.4301606922,27.9212792128,22.3905034793,30.3104575163,28.7592440427,22.7941176471,23.036437247,,25.2602081665,27.4900398406,27.7998411438,27.5059194949,28.5601888277,27.6929103016,
Puglia,26.0171919771,24.8,25.810119386,22.4872231687,24.9858356941,25.8192090395,24.5025582717,25.1133786848,23.2807215333,,25.6696428571,25.0694830461,24.0709927898,24.9171270718,23.4288864388,24.2990654206,
Basilicata,30.0,26.6409266409,24.5210727969,18.320610687,22.9885057471,27.0992366412,19.9233716475,21.0727969349,16.4122137405,,20.5323193916,19.0114068441,20.5323193916,19.391634981,18.1818181818,18.9393939394,
Calabria,31.7660550459,30.1714285714,33.0672748005,31.7820658343,28.132118451,28.1001137656,24.3119266055,27.9176201373,25.5972696246,,27.2933182333,23.9819004525,25.6497175141,24.2152466368,27.4049217002,25.8928571429,
Sicilia,16.5430954588,16.8125287886,19.5692025665,14.2595139844,15.7894736842,17.2681589767,14.0552995392,16.0459770115,11.4051094891,,10.8744902583,11.2866817156,11.7064385412,11.5091804747,13.0745203034,11.1308993767,
Sardegna,13.3053221289,18.5595567867,18.9226519337,16.5745856354,13.3977900552,15.3103448276,19.8074277854,14.6575342466,16.0762942779,,14.2083897158,13.1897711978,17.4262734584,15.4666666667,12.8647214854,13.642384106,
Italia,29.1745506149,30.7305379809,31.5148906195,29.9101211411,28.8097191297,31.0483242401,30.0615903652,27.6107440278,27.4635319677,0.0,29.0373265885,28.9829668864,29.1977435354,29.0954830473,30.3217867929,29.6546351597,
