Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,83.1283382231,85.3955898851,86.3036286517,86.8356254234,86.7936801949,89.1142580107,88.0907045179,92.0768293116,92.5345215827,94.0300468138,92.3979831144,93.2421130883,93.0921353452,,,,
Valle d'Aosta/Vallée d'Aoste,84.9056603774,88.2755995432,90.0355871886,89.7882938979,94.3467336683,95.9643160578,93.0561330561,90.8036454018,95.5943474647,94.4213155704,96.1038961039,96.7482938579,95.8050339592,,,,
Lombardia,78.1334219057,80.7482528646,81.9696093624,82.6967645133,83.1000660421,85.1979474328,85.0282341909,88.4659842339,89.6882971312,89.9567955859,88.0124337359,88.7814050771,88.8560386569,,,,
Trentino-Alto Adige,73.8403367896,76.9054878049,76.5956585129,77.3720835039,77.7273106092,79.7587414062,78.5186450814,79.8330955161,81.2592015242,82.6779704341,83.6230672796,84.4526705447,85.0599912305,,,,
Veneto,80.5847186963,82.7414668632,84.0694418182,85.400958271,84.4577045255,86.7041436924,87.4760134325,90.4668622182,91.2724972452,91.3300022343,91.6603532836,92.5491159136,91.7974949804,,,,
Friuli-Venezia Giulia,89.8391526089,91.4975440734,93.3876703024,94.3830609587,92.2845217092,93.375862973,93.860039125,95.8737643965,96.569158541,97.3123846396,95.4716485824,94.9522863682,95.3180768423,,,,
Liguria,92.1732810001,93.4768468329,95.559205124,95.3063038425,94.9699673329,94.2401873802,96.0787172012,97.3039576284,97.0373629597,97.3426016437,94.3839441536,95.4717624979,95.297722126,,,,
Emilia-Romagna,88.3479339484,90.9956240195,91.9303542922,93.3683722368,94.1957671958,94.0565594143,95.4303931987,96.5493938683,96.6832071037,97.3688138629,96.1499876226,97.7445150707,97.9298311211,,,,
Toscana,90.049105902,91.7296728572,93.5905653121,93.4503219626,94.6358152764,94.1389744948,95.193496582,96.6197753264,97.6680821461,97.2157505681,97.0004542615,97.5723871293,97.3690738699,,,,
Umbria,93.2843160212,96.365939205,97.2795307443,96.0024758859,96.5398837824,93.5259497057,95.236799129,97.6153590793,99.0937569926,100.100077838,99.5706479313,98.7454117131,100.329961595,,,,
Marche,92.2026944895,92.7564810433,94.0445365096,94.2356241234,96.1593910386,96.3756660226,95.9643916914,98.2784840927,99.9572714787,99.7081002189,99.6171931517,100.260926288,100.684552419,,,,
Lazio,88.8886658906,91.8452264399,93.7650591513,94.4510574584,93.9676473748,95.1904058291,96.8922911845,100.214342981,100.996128905,100.915136655,100.067087513,100.074466722,97.4559460315,,,,
Abruzzo,87.4918379607,89.8552684972,90.3567984571,92.3915512151,92.5268349289,92.249400199,93.5240199445,94.9778389118,96.0742018982,96.1946544696,96.591658036,95.4001240695,96.0190984064,,,,
Molise,85.627925117,88.0191216014,88.9443143642,89.5865875247,86.5085248332,89.3053905153,90.5831581277,94.438138479,96.596768649,99.6484649637,100.299868058,98.031496063,99.1402985075,,,,
Campania,69.5974749959,72.5863452684,73.2234602364,74.5563549161,75.8208628512,75.8575445173,78.2445115144,83.6108421559,85.1977913521,87.0379812053,87.7557924128,88.0897817567,88.6348864714,,,,
Puglia,70.8313813573,73.4757543571,75.47581037,76.5694209987,78.1189461449,79.0745750207,80.9570567693,86.0952056074,89.2890690661,90.5403372721,92.4630891779,92.2243600468,93.5335882032,,,,
Basilicata,85.9267680356,89.4262940366,91.4912990692,91.4608363843,92.6750261233,93.0097501199,96.0683017021,97.4229973727,99.0527817404,100.324976787,101.9491226,101.932989691,102.553342396,,,,
Calabria,74.5351259721,77.1668269745,79.1172406244,79.8095610957,81.1316972595,82.7443801713,86.7265901919,88.6087196299,89.9673116547,92.6483475213,94.0778969438,94.3980256791,93.6258047606,,,,
Sicilia,70.8677893468,74.5303924495,75.9441568112,77.2790341472,77.8299005595,78.1857612923,80.5764530362,86.3981591008,88.7061908873,89.7364048092,90.5112300862,90.804068043,90.8092321212,,,,
Sardegna,90.2037117831,92.6949134693,96.1368150591,96.5525096818,94.7959705662,92.5731539272,98.6355596732,100.129133927,100.34072314,99.8580391079,101.363313609,100.670238123,102.968847502,,,,
Italia,79.7256644641,82.300960847,83.6600470082,84.5091129988,84.9299374757,85.7526505243,87.2385832815,90.7663403568,92.1225560492,92.9276263763,92.839219112,93.224927653,93.2323854025,,,,
