Regione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Piemonte,,,,,,,,,37.108470669,55.6461494814,54.5459436973,72.7892076305,77.4977085243,82.1713976265,86.3884959727,86.2665816131,
Valle d'Aosta/Vallée d'Aoste,,,,,,,,,28.125651589,47.2263791206,58.7850314941,61.8967511976,77.4553571429,82.1032873829,89.7228310146,90.5931817282,
Lombardia,,,,,,,,,37.9824590689,54.0504504063,64.3322028977,74.8916471045,78.9805964548,84.3962252131,85.7457198267,86.4724476391,
Trentino-Alto Adige,,,,,,,,,32.5301210642,49.6815253011,60.0531476074,74.9968444889,78.7622149837,82.4169157983,79.6300038633,85.380619832,
Veneto,,,,,,,,,27.0356724978,46.0519414148,55.3813983541,67.8950138094,72.0562314604,80.2688693114,81.1504834173,82.6879874946,
Friuli-Venezia Giulia,,,,,,,,,28.8531607058,55.4182259366,59.3908197294,68.5179701632,74.4084682441,81.9871834154,86.7191387917,84.9108591697,
Liguria,,,,,,,,,36.1796421526,55.6595344469,64.0947456804,72.0048300739,76.9584194808,86.293903857,89.8258177809,82.3692516268,
Emilia-Romagna,,,,,,,,,34.4558022483,52.6349161563,60.4187153301,72.9737198415,80.8871595331,84.7630010813,84.6375031662,85.5406735878,
Toscana,,,,,,,,,24.1556245568,46.4581093109,56.998024007,70.3460464008,79.742699612,79.5906468606,82.31842961,82.0242021324,
Umbria,,,,,,,,,21.4809326538,48.0764989158,51.4202470912,62.7803801051,73.1631382316,74.8752971091,84.3767477638,85.254993728,
Marche,,,,,,,,,21.7971071091,50.4926859235,48.6580362438,70.8675742027,72.2375690608,79.7683608123,78.1273410362,72.7803671913,
Lazio,,,,,,,,,34.0414592181,51.791469601,56.8502889605,65.1505096177,76.4304973038,80.2151833613,85.2256439183,84.2658310168,
Abruzzo,,,,,,,,,23.8670201369,39.2715476375,48.7528086069,59.9109009042,63.7931034483,75.7857894918,80.1288915544,83.7098685024,
Molise,,,,,,,,,24.8406423553,31.284755545,36.6045953592,39.8830861929,47.3214285714,61.370573525,62.9929522291,80.9074420119,
Campania,,,,,,,,,31.7406918801,52.6632702272,42.9908374719,62.3905151335,69.56325573,75.4315754208,79.3697325653,75.166603323,
Puglia,,,,,,,,,17.6039410903,42.3707823309,44.3511197153,61.3310911189,70.2369668246,77.1621354611,76.454755782,77.5102606038,
Basilicata,,,,,,,,,14.2305411143,32.6246320152,42.6476238046,52.5995282911,65.5723158829,81.3033673429,77.433837595,73.3340667123,
Calabria,,,,,,,,,22.5475543063,41.7377872798,45.1947549565,55.0824108081,66.3088642659,76.7230730143,75.6635583402,77.497350997,
Sicilia,,,,,,,,,26.1095728112,49.019465974,59.2874777538,69.5880767747,72.8417738126,77.0932597135,78.2938011794,81.3540956834,
Sardegna,,,,,,,,,31.5587523784,47.4247381442,51.9586573398,61.265930854,69.9805609553,75.3542558688,76.7245984307,83.2392216859,
Italia,,,,,,,11.4239702385,14.9468572703,31.1836874307,50.4980252189,56.7348960864,69.5528726683,75.5991106831,81.0537130041,82.8440143116,83.0864384497,
